날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,269500,272500,266000,266000,541194,0.0,43637056610000,541194,145410884500,164049085,157641,2.4,1.69,110854,0.19,511,-3653108500,-59940500,-10432913000,14145962000
2022-05-27,271000,272000,268500,270000,481191,1.5037593984962405,44293252950000,481191,130077052270,164049085,157641,2.44,1.71,110854,0.19,511,5416242000,626788000,-15308134500,9265104500
2022-05-30,274000,282500,273500,281000,751170,4.074074074074074,46097792885000,751170,209793169500,164049085,157641,2.53,1.78,110854,0.18,511,62077722000,130261000,-71989779500,9781796500
2022-05-31,281500,289500,277500,288000,1515701,2.491103202846975,47246136480000,1515701,434458084500,164049085,157641,2.6,1.83,110854,0.18,511,-3328844500,-201381500,-54478869500,58009095500
2022-06-02,290500,291000,284000,290000,608586,0.6944444444444444,47574234650000,608586,175145071000,164049085,157641,2.62,1.84,110854,0.18,511,-14067995000,-249577500,-5832434500,20150007000
2022-06-03,293500,294500,286000,287500,470483,-0.8620689655172413,47164111937500,470483,136624283500,164049085,157641,2.59,1.82,110854,0.18,511,5653917000,-654573000,-1358877000,-3640467000
2022-06-07,282500,284000,276000,278000,660801,-3.304347826086956,45605645630000,660801,184436522000,164049085,157641,2.51,1.76,110854,0.18,511,-31242561500,1374479000,36975694000,-7107611500
2022-06-08,279500,280000,274500,278000,400681,0.0,45605645630000,400681,111249622000,164049085,157641,2.51,1.76,110854,0.18,511,1683491000,-286646500,3547857000,-4944701500
2022-06-09,275500,277500,269000,273000,753205,-1.7985611510791366,44785400205000,753205,205371765500,164049085,157641,2.46,1.73,110854,0.19,511,-10630405000,83378500,28965007000,-18417980500
2022-06-10,269000,274500,268500,270000,497525,-1.098901098901099,44293252950000,497525,134772642500,164049085,157641,2.44,1.71,110854,0.19,511,-8219268000,65080000,8646449000,-492261000
2022-06-13,262000,263000,254000,254000,928643,-5.9259259259259265,41668467590000,928643,239293492184,164049085,157641,2.29,1.61,110854,0.2,511,-23053754000,7367571000,52643766000,-36957583000
2022-06-14,246000,255500,245000,253000,731127,-0.39370078740157477,41504418505000,731127,182998765000,164049085,157641,2.28,1.6,110854,0.2,511,8243901500,186305000,5545454500,-13975661000
2022-06-15,250000,252000,241500,244500,751618,-3.3596837944664033,40110001282500,751618,183981498500,164049085,157641,2.21,1.55,110854,0.21,511,-7174488000,4330148500,15694279000,-12849939500
2022-06-16,249000,251000,239500,240000,737844,-1.8404907975460123,39371780400000,737844,179793811500,164049085,157641,2.17,1.52,110854,0.21,511,-9667255000,-1041555000,21568637000,-10859827000
2022-06-17,232500,241500,232500,237500,990192,-1.0416666666666665,38961657687500,990192,235419467000,164049085,157641,2.14,1.51,110854,0.22,511,14652335000,84364500,-2848111000,-11888588500
2022-06-20,239500,241000,230000,234000,719666,-1.4736842105263157,38387485890000,719666,167862591000,164049085,157641,2.11,1.48,110854,0.22,511,10175547000,-236257000,-6836674500,-3102615500
2022-06-21,236000,241500,234500,239500,526317,2.3504273504273505,39289755857500,526317,125525020000,164049085,157641,2.16,1.52,110854,0.21,511,13572634500,-913382500,-15220404500,2561152500
2022-06-22,239500,239500,227000,229000,894578,-4.3841336116910234,37567240465000,894578,206191806500,164049085,157641,2.07,1.45,110854,0.22,511,-15091144500,1103207500,29319577000,-15331640000
2022-06-23,229000,239500,229000,234000,894526,2.1834061135371177,38387485890000,894526,209531913500,164049085,157641,2.11,1.48,110854,0.22,511,21457328500,-104785000,-48237638000,26885094500
2022-06-24,238500,250000,236000,247500,990710,5.769230769230769,40602148537500,990710,241851026500,164049085,157641,2.23,1.57,110854,0.21,511,66647847000,2255014000,-38869865500,-30032995500
2022-06-27,247500,253500,244500,249000,634239,0.6060606060606061,40848222165000,634239,158347359800,164049085,157641,2.25,1.58,110854,0.21,511,-138053000,-58484000,-2551396500,2747933500
2022-06-28,248500,253000,246000,252500,460119,1.4056224899598393,41422393962500,460119,115089191750,164049085,157641,2.28,1.6,110854,0.2,511,-7677724500,45779500,-9656610000,17288555000
2022-06-29,246500,249000,244500,246500,464699,-2.376237623762376,40438099452500,464699,114555411500,164049085,157641,2.22,1.56,110854,0.21,511,-15974638000,-1692600500,7094598000,10572640500
2022-06-30,241500,245000,236500,240000,764891,-2.636916835699797,39371780400000,764891,184132546000,164049085,157641,2.17,1.52,110854,0.21,511,-13562289000,-3339586000,-286537500,17188412500
2022-07-01,240000,242500,233500,237000,527033,-1.25,38879633145000,527033,124814368000,164049085,157641,2.14,1.5,110854,0.22,511,-5711494500,-178536500,1566158500,4323872500
2022-07-04,237500,240000,230500,235000,512776,-0.8438818565400843,38551534975000,512776,120383305500,164049085,157641,2.12,1.49,110854,0.22,511,18676502000,87342000,940357000,-19704201000
2022-07-05,238500,248500,237000,243000,654854,3.404255319148936,39863927655000,654854,159394015200,164049085,157641,2.19,1.54,110854,0.21,511,32315669000,18079000,-14315133000,-18018615000
2022-07-06,240000,249500,236500,243500,875386,0.205761316872428,39945952197500,875386,214619899500,164049085,157641,2.2,1.54,110854,0.21,511,41906514500,314505500,3753226000,-45974246000
2022-07-07,246000,249000,243000,245000,547620,0.6160164271047228,40192025825000,547620,134298824500,164049085,157641,2.21,1.55,110854,0.21,511,9234262000,269519000,20254198500,-29757979500
2022-07-08,247000,252500,246000,249000,652395,1.6326530612244898,40848222165000,652395,162485327500,164049085,157641,2.25,1.58,110854,0.21,511,12690772000,72337000,-21162389500,8399280500
2022-07-11,246000,248000,238500,240500,554603,-3.413654618473896,39453804942500,554603,134602736000,164049085,157641,2.17,1.53,110854,0.21,511,-910530000,517097000,17417611500,-17024178500
2022-07-12,236500,237500,230500,233500,601679,-2.9106029106029108,38305461347500,601679,139981478500,164049085,157641,2.11,1.48,110854,0.22,511,-5118152000,362380000,27332957000,-22577185000
2022-07-13,232000,239000,232000,237500,451619,1.7130620985010707,38961657687500,451619,106834636500,164049085,157641,2.14,1.51,110854,0.22,511,23312924000,-1081242500,-16494946000,-5736735500
2022-07-14,232000,236000,231000,233500,611226,-1.6842105263157894,38305461347500,611226,142583885500,164049085,157641,2.11,1.48,110854,0.22,511,-32351661500,801848000,22923537000,8626276500
2022-07-15,234500,234500,228000,231000,826920,-1.070663811563169,37895338635000,826920,190631131500,164049085,157641,2.08,1.47,110854,0.22,511,-2522747000,4127714500,35068233500,-36673201000
2022-07-18,234000,247000,233000,246500,986963,6.70995670995671,40438099452500,986963,239419579500,164049085,157641,2.22,1.56,110854,0.21,511,4468637500,-61430500,-63264622000,58857415000
2022-07-19,242500,244000,240000,243500,350932,-1.2170385395537524,39945952197500,350932,85006956500,164049085,157641,2.2,1.54,110854,0.21,511,-5943192500,-226820000,10628145000,-4458132500
2022-07-20,251000,253500,244500,246000,635582,1.0266940451745379,40356074910000,635582,158622848500,164049085,157641,2.22,1.56,110854,0.21,511,28730168000,331787500,-9529998000,-19531957500
2022-07-21,248500,256500,246500,250500,567875,1.8292682926829267,41094295792500,567875,143177360500,164049085,157641,2.26,1.59,110854,0.2,511,16493820000,397502000,-19831150500,2939828500
2022-07-22,250000,253500,247000,250000,465586,-0.19960079840319359,41012271250000,465586,116508505500,164049085,157641,2.26,1.59,110854,0.2,511,-6870633500,-545900000,-2813439000,10229972500
2022-07-25,248000,249000,244000,248000,380368,-0.8,40684173080000,380368,93847756000,164049085,157641,2.24,1.57,110854,0.21,511,2175032000,-50503500,14232825000,-16357353500
2022-07-26,244500,245000,240500,245000,432397,-1.2096774193548387,40192025825000,432397,105056845000,164049085,157641,2.21,1.55,110854,0.21,511,-9340389000,296976000,17574196000,-8530783000
2022-07-27,247500,247500,241000,246000,576997,0.40816326530612246,40356074910000,576997,141183155500,164049085,157641,2.22,1.56,110854,0.21,511,24374033000,1026782500,11411058500,-36811874000
2022-07-28,251000,255000,245500,247000,564324,0.40650406504065045,40520123995000,564324,140891541500,164049085,157641,2.23,1.57,110854,0.21,511,7720255000,131811000,9921185000,-17773251000
2022-07-29,252000,262000,251500,259000,1105156,4.8582995951417,42488713015000,1105156,285999236000,164049085,157641,2.34,1.64,110854,0.2,511,40594063000,-899920500,-95900261000,56206118500
2022-08-01,260500,261500,256500,259000,532517,0.0,42488713015000,532517,137975825650,164049085,157641,2.34,1.64,110854,0.2,511,5766836500,-2362218000,18561149500,-21965768000
