날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-30,38060,38060,36969,37437,47563,-2.040976528769919,112135606800,1483902,1778721965,93446339,693,0.0,1.73,0,0.0,0,0.0,-2349170.0,129288385.0,-126939215.0
2022-05-31,37436,37748,35877,36033,48299,-3.750300504848145,107930521545,1506856,1759709430,93446339,693,0.0,1.67,0,0.0,0,0.0,-12520400.0,66159585.0,-53639185.0
2022-06-02,35720,36032,35253,35565,29170,-1.2988094246940305,106528826460,910084,1036974445,93446339,693,0.0,1.65,0,0.0,0,0.0,-31770000.0,-9383380.0,41153380.0
2022-06-03,36188,36656,34629,35097,33016,-1.315900463939266,105127131375,1030043,1172160060,93446339,693,0.0,1.62,0,0.0,0,0.0,-99277080.0,94403990.0,4873090.0
2022-06-07,35253,37436,35097,37281,53067,6.222754081545431,111668375105,1655604,1927418030,93446339,693,0.0,1.72,0,0.0,0,0.0,2325000.0,-170816235.0,168491235.0
2022-06-08,37749,40088,35565,39621,140819,6.276655669107588,118676850530,4393315,5359734315,93446339,693,0.0,1.83,0,0.0,0,-32355750.0,9633700.0,-32855320.0,55577370.0
2022-06-09,39464,39620,37125,37749,61035,-4.72476716892557,113070070190,1904184,2317223030,93446339,693,0.0,1.75,0,0.0,0,0.0,61250.0,244131495.0,-244192745.0
2022-06-10,36813,41804,36813,39933,295396,5.785583724072161,119611313920,9215840,11882913750,93446339,693,0.0,1.85,0,0.0,0,-172000.0,-66379305.0,21315740.0,45235565.0
2022-06-13,39309,41336,36813,40089,179425,0.3906543460295996,120078545615,5597735,7081912355,93446339,693,0.0,1.85,0,0.0,0,0.0,-22518975.0,340063275.0,-317544300.0
2022-06-14,38997,43988,38997,41493,317996,3.502207588116441,124283630870,9920924,13422891160,93446339,693,0.0,1.92,0,0.0,0,247841090.0,20377395.0,-403025110.0,134806625.0
2022-06-15,40556,42584,33537,34317,207368,-17.29448340683971,102790972900,6469532,8009150135,93446339,693,0.0,1.59,0,0.0,0,-243828200.0,-1024541630.0,548911970.0,719457860.0
2022-06-16,35877,39620,35409,37749,134458,10.000874202290412,113070070190,4194858,5053338910,93446339,693,0.0,1.75,0,0.0,0,101695720.0,9108595.0,-274020025.0,163215710.0
2022-06-17,37125,40556,37125,39309,176016,4.132559802908686,117742387140,5491402,6940812850,93446339,693,0.0,1.82,0,0.0,0,77610195.0,-114479610.0,607440480.0,-570571065.0
2022-06-20,39152,39152,35721,37593,104005,-4.36541250095398,112602838495,3244787,3841080770,93446339,693,0.0,1.74,0,0.0,0,-168775570.0,-154425195.0,640462125.0,-317261360.0
2022-06-21,37124,38684,36813,36969,64156,-1.6598834889474106,110733911715,2001563,2412155220,93446339,693,0.0,1.71,0,0.0,0,-1441210.0,0.0,125530095.0,-124088885.0
