날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-30,5032,5140,5032,5098,274655,0.8705975464978234,263070000000,118148,1396491100,22200000,7504,32.73,1.58,362,0.34,40,21448600.0,-11850000.0,-168030800.0,158432200.0
2022-05-31,5119,5377,5119,5334,788117,4.6292663789721455,275280000000,339024,4175312600,22200000,7504,34.25,1.65,362,0.32,40,329827950.0,-30046000.0,-168823100.0,-130958850.0
2022-06-02,5334,5377,5162,5184,384018,-2.81214848143982,267510000000,165193,2003975050,22200000,7504,33.29,1.61,362,0.33,40,30155200.0,70097100.0,326357300.0,-426609600.0
2022-06-03,5226,5355,5011,5356,558336,3.3179012345679015,276390000000,240179,2896601750,22200000,7504,34.39,1.66,362,0.32,40,171735200.0,0.0,-159181300.0,-12553900.0
2022-06-07,5527,5699,5119,5119,1582248,-4.424943988050784,264180000000,680635,8609750650,22200000,7504,32.87,1.59,362,0.34,40,182008800.0,79124150.0,-87595050.0,-173537900.0
2022-06-08,5075,5334,5054,5227,531098,2.109787067786677,269730000000,228462,2761906350,22200000,7504,33.56,1.62,362,0.33,40,172651650.0,0.0,-241611250.0,68959600.0
2022-06-09,5162,5463,5076,5334,638655,2.0470633250430454,275280000000,274730,3384051150,22200000,7504,34.25,1.65,362,0.32,40,23577600.0,-33016600.0,-53528300.0,62967300.0
2022-06-10,5291,5979,5291,5743,4185913,7.667791526059242,296370000000,1800652,24046884150,22200000,7504,36.88,1.78,362,0.3,40,46961200.0,75919200.0,-1348915250.0,1226034850.0
2022-06-13,5570,6172,5527,6022,3022955,4.858088107261013,310800000000,1300383,17919480200,22200000,7504,38.67,1.87,362,0.29,40,-109474650.0,203469750.0,1129723800.0,-1223718900.0
2022-06-14,5979,6452,5506,5614,5182436,-6.7751577548987045,289710000000,2229326,30107356900,22200000,7504,36.05,1.74,362,0.31,40,142750950.0,-206379000.0,-469982450.0,533610500.0
2022-06-15,5678,5871,3991,4031,29033231,-28.197363733523336,208014000000,12489210,137942229290,22200000,7504,25.88,1.25,362,0.43,40,10232750.0,677312950.0,-1283856520.0,596310820.0
2022-06-16,4086,4194,3497,3549,12492548,-11.957330687174398,183150000000,5373913,48445713070,22200000,7504,22.79,1.1,362,0.48,40,-46986900.0,-392792260.0,161060400.0,278718760.0
2022-06-17,3290,3402,3148,3226,3164569,-9.101155255001409,166500000000,1361301,10379545300,22200000,7504,20.72,1.0,362,0.53,40,37534370.0,-175125320.0,285378430.0,-147787480.0
2022-06-20,3157,3368,3062,3093,2079197,-4.122752634841909,159618000000,894407,6669893970,22200000,7504,19.86,0.96,362,0.56,40,42391310.0,125841760.0,-405313040.0,237079970.0
2022-06-21,3092,3209,3071,3127,1226038,1.0992563853863564,161394000000,527404,3826079620,22200000,7504,20.08,0.97,362,0.55,40,5900290.0,42318130.0,-527757790.0,479539370.0
2022-06-22,3127,3191,2968,3011,1146427,-3.709625839462744,155400000000,493158,3529555210,22200000,7504,19.34,0.93,362,0.57,40,-2904690.0,-68170690.0,-31681040.0,102756420.0
2022-06-23,3032,3080,2791,2796,1371190,-7.140484888741281,144300000000,589844,3954510780,22200000,7504,17.96,0.87,362,0.62,40,-79659120.0,-8174610.0,-132674490.0,220508220.0
2022-06-24,2748,3080,2748,2994,1394471,7.081545064377683,154512000000,599859,4081404450,22200000,7504,19.23,0.93,362,0.57,40,-9134580.0,247989900.0,-964252320.0,725397000.0
2022-06-27,2998,3501,2998,3338,2013313,11.489645958583834,172272000000,866066,6573322100,22200000,7504,21.44,1.03,362,0.52,40,42005950.0,-41197030.0,111538150.0,-112347070.0
2022-06-28,3299,3471,3234,3355,820804,0.5092869982025165,173160000000,353085,2757993210,22200000,7504,21.55,1.04,362,0.51,40,73211990.0,-62821360.0,-5417350.0,-4973280.0
2022-06-29,3256,3394,3234,3269,429361,-2.563338301043219,168720000000,184698,1410892510,22200000,7504,20.99,1.01,362,0.53,40,30420.0,3460070.0,86517840.0,-90008330.0
2022-06-30,3299,3299,3148,3149,410971,-3.6708473539308657,162504000000,176787,1316970190,22200000,7504,20.22,0.98,362,0.55,40,14588360.0,7627200.0,317311180.0,-339526740.0
2022-07-01,3127,3273,3058,3076,406935,-2.31819625277866,158730000000,175051,1275174840,22200000,7504,19.75,0.95,362,0.56,40,-111240.0,5951500.0,-54563360.0,48723100.0
2022-07-04,3075,3135,2946,3041,354900,-1.1378413524057216,156954000000,152667,1074534380,22200000,7504,19.53,0.94,362,0.57,40,9441980.0,5625000.0,-96376270.0,81309290.0
2022-07-05,3088,3118,3006,3084,206995,1.4140085498191384,159174000000,89043,636346440,22200000,7504,19.81,0.96,362,0.56,40,7736840.0,0.0,-234534470.0,226797630.0
2022-07-06,3062,3067,2959,3007,263654,-2.496757457846952,155178000000,113416,796104110,22200000,7504,19.31,0.93,362,0.57,40,27790.0,5550470.0,-47233940.0,41655680.0
2022-07-07,3045,3071,2993,3054,340475,1.5630196208846026,157620000000,146462,1030624570,22200000,7504,19.61,0.95,362,0.56,40,-61476040.0,0.0,45253860.0,16222180.0
2022-07-08,3062,3148,3041,3132,277663,2.5540275049115913,161616000000,119442,863955200,22200000,7504,20.11,0.97,362,0.55,40,-46961840.0,-53451780.0,-147216900.0,247630520.0
2022-07-11,3131,3135,2916,3084,226229,-1.532567049808429,159174000000,97317,693763140,22200000,7504,19.81,0.96,362,0.56,40,136240.0,-15196070.0,-52149990.0,67209820.0
2022-07-12,3054,3054,2942,3007,351424,-2.496757457846952,155178000000,151172,1044647490,22200000,7504,19.31,0.93,362,0.57,40,369280.0,57822000.0,118197010.0,-176388290.0
2022-07-13,2972,2989,2834,2964,458389,-1.4299966744263386,152958000000,197185,1330961220,22200000,7504,19.03,0.92,362,0.58,40,-282120.0,-27672790.0,-307037710.0,334992620.0
2022-07-14,2925,2989,2920,2964,173467,0.0,152958000000,74620,512960190,22200000,7504,19.03,0.92,362,0.58,40,-20660.0,-84167090.0,29570400.0,54617350.0
2022-07-15,2959,2972,2856,2895,260932,-2.327935222672065,149406000000,112245,751662040,22200000,7504,18.59,0.9,362,0.59,40,-92095690.0,0.0,272750970.0,-180655280.0
2022-07-18,2895,2993,2882,2972,202162,2.6597582037996546,153402000000,86964,595393980,22200000,7504,19.09,0.92,362,0.58,40,14629230.0,0.0,-214164930.0,199535700.0
