날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,4385,4455,4345,4360,35524,-1.3574660633484164,86288393760,35524,156437480,19790916,6209,15.91,0.7,274,0.46,20,22161320,0,-37188020,15026700
2022-05-27,4395,4420,4315,4395,30431,0.8027522935779817,86981075820,30431,132876625,19790916,6209,16.04,0.71,274,0.46,20,21889025,0,961430,-22850455
2022-05-30,4390,4525,4375,4500,46435,2.3890784982935154,89059122000,46435,208218140,19790916,6209,16.42,0.72,274,0.44,20,39197250,2002500,-111942625,70742875
2022-05-31,4520,4570,4475,4530,55944,0.6666666666666667,89652849480,55944,252807555,19790916,6209,16.53,0.73,274,0.44,20,22764125,0,-21939490,-824635
2022-06-02,4560,4560,4490,4535,15306,0.11037527593818984,89751804060,15306,69218055,19790916,6209,16.55,0.73,274,0.44,20,22650865,0,-7869335,-14781530
2022-06-03,4570,4570,4505,4540,17919,0.11025358324145534,89850758640,17919,81088050,19790916,6209,16.57,0.73,274,0.44,20,22324210,0,-2416510,-19907700
2022-06-07,4550,4550,4450,4530,25728,-0.22026431718061676,89652849480,25728,115333120,19790916,6209,16.53,0.73,274,0.44,20,22456965,0,15524915,-37981880
2022-06-08,4515,4520,4455,4465,30262,-1.434878587196468,88366439940,30262,135512840,19790916,6209,16.3,0.72,274,0.45,20,22501050,0,19621930,-42122980
2022-06-09,4440,4485,4380,4410,31909,-1.2318029115341544,87277939560,31909,140951370,19790916,6209,16.09,0.71,274,0.45,20,22346560,0,734505,-23081065
2022-06-10,4350,4450,4325,4335,37650,-1.7006802721088436,85793620860,37650,164055620,19790916,6209,15.82,0.7,274,0.46,20,4171690,0,24510555,-28682245
2022-06-13,4290,4290,4135,4140,52528,-4.498269896193772,81934392240,52528,219932750,19790916,6209,15.11,0.67,274,0.48,20,0,0,72669010,-72669010
2022-06-14,3955,4115,3950,3995,54756,-3.5024154589371985,79064709420,54756,218453240,19790916,6209,14.58,0.64,274,0.5,20,0,0,31545045,-31545045
2022-06-15,3975,3995,3700,3800,78617,-4.881101376720901,75205480800,78617,300327150,19790916,6209,13.87,0.61,274,0.53,20,0,0,25991865,-25991865
2022-06-16,3840,4000,3790,3825,52551,0.6578947368421052,75700253700,52551,205128845,19790916,6209,13.96,0.62,274,0.52,20,10662050,0,-23399945,12737895
2022-06-17,3670,3815,3650,3770,40765,-1.4379084967320261,74611753320,40765,151562890,19790916,6209,13.76,0.61,274,0.53,20,0,0,-1034390,1034390
2022-06-20,3750,3810,3450,3545,112946,-5.968169761273209,70158797220,112946,404689210,19790916,6209,12.94,0.57,274,0.56,20,45951420,0,9486175,-55437595
2022-06-21,3560,3705,3545,3645,60216,2.8208744710860367,72137888820,60216,218687085,19790916,6209,13.3,0.59,274,0.55,20,36736605,7887570,-77422510,32798335
2022-06-22,3630,3690,3435,3490,67922,-4.252400548696845,69070296840,67922,238715115,19790916,6209,12.74,0.56,274,0.57,20,35041885,0,27033990,-62075875
2022-06-23,3475,3515,3215,3215,81065,-7.8796561604584525,63627794940,81065,269464075,19790916,6209,11.73,0.52,274,0.62,20,33252865,0,927205,-34180070
2022-06-24,3165,3470,3165,3430,74250,6.6874027993779155,67882841880,74250,248081160,19790916,6209,12.52,0.55,274,0.58,20,34033395,13355,-132745825,98699075
2022-06-27,3470,3650,3410,3595,42202,4.810495626822157,71148343020,42202,149880230,19790916,6209,13.12,0.58,274,0.56,20,36201400,-1053000,-45005635,9857235
2022-06-28,3595,3715,3545,3700,26570,2.920723226703755,73226389200,26570,96957950,19790916,6209,13.5,0.6,274,0.54,20,36914580,0,-25310515,-11604065
2022-06-29,3580,3800,3565,3780,27768,2.1621621621621623,74809662480,27768,102640215,19790916,6209,13.8,0.61,274,0.53,20,37351700,0,-18565105,-18786595
2022-06-30,3720,3780,3665,3720,34983,-1.5873015873015872,73622207520,34983,129748475,19790916,6209,13.58,0.6,274,0.54,20,37377270,0,8466335,-45843605
2022-07-01,3705,3820,3645,3700,41094,-0.5376344086021506,73226389200,41094,153394925,19790916,6209,13.5,0.6,274,0.54,20,37537410,11370,5319100,-42867880
2022-07-04,3710,3820,3530,3790,58306,2.4324324324324325,75007571640,58306,214262620,19790916,6209,13.83,0.61,274,0.53,20,74402895,0,-44493385,-29909510
2022-07-05,3795,3960,3770,3930,50920,3.6939313984168867,77778299880,50920,198174215,19790916,6209,14.34,0.63,274,0.51,20,78135215,-15720,-89554805,11435310
2022-07-06,3930,4585,3865,4165,1241533,5.979643765903308,82429165140,1241533,5351240015,19790916,6209,15.2,0.67,274,0.48,20,63753900,0,-54915840,-8838060
2022-07-07,4120,4125,3970,4005,115623,-3.8415366146458583,79262618580,115623,467505225,19790916,6209,14.62,0.65,274,0.5,20,0,-24030,-7926730,7950760
2022-07-08,4000,4025,3930,3930,50483,-1.8726591760299627,77778299880,50483,200071080,19790916,6209,14.34,0.63,274,0.51,20,0,0,26519080,-26519080
2022-07-11,3960,4050,3900,3930,62471,0.0,77778299880,62471,248220630,19790916,6209,14.34,0.63,274,0.51,20,79709965,0,-56060530,-23649435
2022-07-12,3860,4045,3855,4000,40680,1.7811704834605597,79163664000,40680,160795460,19790916,6209,14.6,0.64,274,0.5,20,78961690,0,-64085800,-14875890
2022-07-13,3960,4685,3945,4125,1586670,3.125,81637528500,1586670,6969968610,19790916,6209,15.05,0.66,274,0.48,20,123699715,-453000,1009225,-124255940
2022-07-14,4130,4440,4125,4285,247504,3.878787878787879,84804075060,247504,1068969595,19790916,6209,15.64,0.69,274,0.47,20,146992915,-21425,-288444685,141473195
2022-07-15,4300,4390,4190,4255,82663,-0.7001166861143524,84210347580,82663,354956595,19790916,6209,15.53,0.69,274,0.47,20,120070535,0,-89570745,-30499790
2022-07-18,4260,4395,4240,4350,61264,2.2326674500587544,86090484600,61264,264489965,19790916,6209,15.88,0.7,274,0.46,20,111717505,0,-65604820,-46112685
2022-07-19,4385,4480,4310,4405,74648,1.264367816091954,87178984980,74648,331274405,19790916,6209,16.08,0.71,274,0.45,20,132748180,0,-157237545,24489365
2022-07-20,4445,4530,4425,4465,63682,1.362088535754824,88366439940,63682,285714575,19790916,6209,16.3,0.72,274,0.45,20,134818620,0,-130816975,-4001645
