날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,426500,432500,424500,430500,162583,0.9378663540445485,100737000000000,162583,69909988500,234000000,39831,108.63,10.81,3963,0.0,0,5497116000,-82167000,-22922675000,17507726000
2022-05-27,434500,437000,427500,430500,214801,0.0,100737000000000,214801,92417956500,234000000,39831,108.63,10.81,3963,0.0,0,3722623000,-228434500,-4328802500,834614000
2022-05-30,434500,440000,432000,439500,229834,2.0905923344947737,102843000000000,229834,100590444000,234000000,39831,110.9,11.03,3963,0.0,0,7434396000,-471185500,-53765217500,46802007000
2022-05-31,441500,444000,436000,444000,345830,1.023890784982935,103896000000000,345830,152722959500,234000000,39831,112.04,11.15,3963,0.0,0,20792000,-628371000,-45458834500,46066413500
2022-06-02,440500,442000,438000,440500,153596,-0.7882882882882882,103077000000000,153596,67591562000,234000000,39831,111.15,11.06,3963,0.0,0,-2259061000,16906000,-5560799500,7802954500
2022-06-03,443500,444000,437500,437500,154981,-0.681044267877412,102375000000000,154981,68167034250,234000000,39831,110.4,10.98,3963,0.0,0,6794152500,640282000,-4713518000,-2720916500
2022-06-07,436500,439500,432000,432000,180249,-1.2571428571428571,101088000000000,180249,78448597000,234000000,39831,109.01,10.85,3963,0.0,0,-7024955000,172941500,-7984558500,14836572000
2022-06-08,432500,434500,422500,425500,215828,-1.5046296296296295,99567000000000,215828,92160988000,234000000,39831,107.37,10.68,3963,0.0,0,-10760731500,-270086500,1449706000,9581112000
2022-06-09,426000,426000,419000,422500,208712,-0.7050528789659225,98865000000000,208712,88237112000,234000000,39831,106.61,10.61,3963,0.0,0,-2189832000,18202500,6617408500,-4445779000
2022-06-10,418000,426000,412500,425000,285077,0.591715976331361,99450000000000,285077,119263359000,234000000,39831,107.24,10.67,3963,0.0,0,13113015000,1425052500,3431695500,-17969763000
2022-06-13,414000,420500,413500,415000,267003,-2.3529411764705883,97110000000000,267003,111070114500,234000000,39831,104.72,10.42,3963,0.0,0,1335747500,-346905500,3898830500,-4887672500
2022-06-14,411000,432500,410500,426500,417106,2.7710843373493974,99801000000000,417106,177026330500,234000000,39831,107.62,10.71,3963,0.0,0,17329245000,467578000,-35589366000,17792543000
2022-06-15,426000,427500,417000,420000,275832,-1.5240328253223916,98280000000000,275832,116242221000,234000000,39831,105.98,10.54,3963,0.0,0,14337806000,-1201977500,-9028762500,-4107066000
2022-06-16,424500,439500,424500,427000,365836,1.6666666666666667,99918000000000,365836,158223107500,234000000,39831,107.75,10.72,3963,0.0,0,12884298500,-92473500,-44488794000,31696969000
2022-06-17,419500,430000,417000,425500,1211937,-0.351288056206089,99567000000000,1211937,514412425000,234000000,39831,107.37,10.68,3963,0.0,0,-30680311500,-229509500,14870739000,16039082000
2022-06-20,426500,427000,408500,411500,285056,-3.290246768507638,96291000000000,285056,117916835500,234000000,39831,103.84,10.33,3963,0.0,0,5478592500,390538500,32380133000,-38249264000
2022-06-21,414500,416500,406000,413000,204026,0.3645200486026731,96642000000000,204026,83799535500,234000000,39831,104.21,10.37,3963,0.0,0,5419150000,345786000,7876487000,-13641423000
2022-06-22,415000,416500,401000,401000,210875,-2.9055690072639226,93834000000000,210875,85564180500,234000000,39831,101.19,10.07,3963,0.0,0,5448621500,-166467000,7295495500,-12577650000
2022-06-23,401000,404500,391000,400000,298719,-0.24937655860349126,93600000000000,298719,118620210000,234000000,39831,100.93,10.04,3963,0.0,0,10797875000,2325678000,2421846500,-15545399500
2022-06-24,399000,405000,398000,405000,235758,1.25,94770000000000,235758,94641770000,234000000,39831,102.2,10.17,3963,0.0,0,6473058000,-420847000,-4173357500,-1878853500
2022-06-27,408500,414500,403500,412000,206869,1.728395061728395,96408000000000,206869,84981604000,234000000,39831,103.96,10.34,3963,0.0,0,1620511000,-508931000,-18350270000,17238690000
2022-06-28,412000,415000,406500,410500,129697,-0.3640776699029126,96057000000000,129697,53121997500,234000000,39831,103.58,10.31,3963,0.0,0,-3100385500,229497000,-1140713500,4011602000
2022-06-29,402000,403500,391500,391500,327192,-4.6285018270401945,91611000000000,327192,129264759500,234000000,39831,98.79,9.83,3963,0.0,0,-27970674000,2243501000,63358420000,-37631247000
2022-06-30,388500,389000,370500,371000,459845,-5.236270753512133,86814000000000,459845,172557186500,234000000,39831,93.62,9.31,3963,0.0,0,-26038284000,-346509500,53023244000,-26638450500
2022-07-01,371000,371500,356000,356500,434833,-3.908355795148248,83421000000000,434833,156338269000,234000000,39831,89.96,8.95,3963,0.0,0,-25631871000,-298633500,41007493500,-15076989000
2022-07-04,356500,361000,352000,356000,161015,-0.1402524544179523,83304000000000,161015,57494233000,234000000,39831,89.83,8.94,3963,0.0,0,-1492825500,794022500,2197320500,-1498517500
2022-07-05,356500,362500,356000,361500,219192,1.544943820224719,84591000000000,219192,78856116000,234000000,39831,91.22,9.08,3963,0.0,0,12649366000,-568198500,3858081000,-15939248500
2022-07-06,367500,374500,364000,370500,393886,2.4896265560165975,86697000000000,393886,145242420500,234000000,39831,93.49,9.3,3963,0.0,0,14721013500,-1360826000,-6551696000,-6808491500
2022-07-07,374500,375000,367500,373500,223247,0.8097165991902834,87399000000000,223247,83026169000,234000000,39831,94.25,9.38,3963,0.0,0,11948238000,-177391500,-12849977000,1079130500
2022-07-08,375000,392500,375000,388000,397140,3.8821954484605086,90792000000000,397140,152494371000,234000000,39831,97.91,9.74,3963,0.0,0,35195924000,944883500,-47732587000,11591779500
2022-07-11,389000,402000,380500,395000,345052,1.804123711340206,92430000000000,345052,136303997500,234000000,39831,99.67,9.92,3963,0.0,0,44464939000,-3489236500,-50619640500,9643938000
2022-07-12,393000,403000,387500,401000,324262,1.5189873417721518,93834000000000,324262,129466396000,234000000,39831,101.19,10.07,3963,0.0,0,26266393500,-243694500,-48237057500,22214358500
2022-07-13,398500,404000,392000,400000,223258,-0.24937655860349126,93600000000000,223258,89361995000,234000000,39831,100.93,10.04,3963,0.0,0,16927277000,-347417000,-23072567000,6492707000
