날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,107500,108500,101500,103000,8523001,-4.62962962962963,74984243595000,8523001,893078934000,728002365,90394,7.36,1.14,13989,1.5,1540,-107176246000,4439323500,201834009000,-99097086500
2022-05-27,105500,107000,105000,106000,3686487,2.912621359223301,77168250690000,3686487,390822023500,728002365,90394,7.58,1.17,13989,1.45,1540,-45635846500,-1102260000,-84980773500,131718880000
2022-05-30,108000,108000,106000,107000,2054526,0.9433962264150944,77896253055000,2054526,219413029151,728002365,90394,7.65,1.18,13989,1.44,1540,16951600500,-1268476000,6643219000,-22326343500
2022-05-31,106500,108000,105500,108000,4024509,0.9345794392523363,78624255420000,4024509,431706106000,728002365,90394,7.72,1.19,13989,1.43,1540,-74438081500,-327300000,-39452843000,114218224500
2022-06-02,106000,107500,106000,107000,3097583,-0.9259259259259258,77896253055000,3097583,330342100540,728002365,90394,7.65,1.18,13989,1.44,1540,-73474420000,598938000,21763467000,51112015000
2022-06-03,108000,108500,107000,107000,1638006,0.0,77896253055000,1638006,176160698000,728002365,90394,7.65,1.18,13989,1.44,1540,-238824500,-181783500,-801587500,1222195500
2022-06-07,105500,106000,103500,104000,3174521,-2.803738317757009,75712245960000,3174521,332407380500,728002365,90394,7.43,1.15,13989,1.48,1540,-92104637500,4034108500,82959705000,5110824000
2022-06-08,104500,107500,104500,106000,3075530,1.9230769230769231,77168250690000,3075530,326582976052,728002365,90394,7.58,1.17,13989,1.45,1540,-9355487000,121402000,-73738081000,82972166000
2022-06-09,105500,107000,104500,105500,4640744,-0.4716981132075472,76804249507500,4640744,491231766000,728002365,90394,7.54,1.17,13989,1.46,1540,-6457176000,587367000,11146855500,-5277046500
2022-06-10,104000,104500,102500,103500,3480289,-1.8957345971563981,75348244777500,3480289,358674454500,728002365,90394,7.4,1.14,13989,1.49,1540,-63329677000,2226086500,103609101500,-42505511000
2022-06-13,100000,101000,99000,99000,4133447,-4.3478260869565215,72072234135000,4133447,412791154508,728002365,90394,7.08,1.1,13989,1.56,1540,-50165262000,8340975500,102812253800,-60987967300
2022-06-14,96900,99600,96800,99100,3242550,0.10101010101010101,72145034371500,3242550,319154836100,728002365,90394,7.08,1.1,13989,1.55,1540,34451779400,559308700,12643946800,-47655034900
2022-06-15,98500,98900,96700,97900,2578500,-1.2108980827447022,71271431533500,2578500,251800088000,728002365,90394,7.0,1.08,13989,1.57,1540,-2652764000,3265291300,13296240900,-13908768200
2022-06-16,99900,101500,97100,97400,3810703,-0.5107252298263534,70907430351000,3810703,379577327900,728002365,90394,6.96,1.08,13989,1.58,1540,-16984941700,-187355100,-15939910600,33112207400
2022-06-17,95100,96400,95000,96400,3965464,-1.0266940451745379,70179427986000,3965464,379777056285,728002365,90394,6.89,1.07,13989,1.6,1540,1237380100,3848391300,50806255100,-55892026500
2022-06-20,96700,96800,93100,94500,2386222,-1.970954356846473,68796223492500,2386222,224647331300,728002365,90394,6.76,1.05,13989,1.63,1540,18732503600,2648568500,8603362800,-29984434900
2022-06-21,94700,95900,93900,95200,2707302,0.7407407407407408,69305825148000,2707302,256916587444,728002365,90394,6.81,1.05,13989,1.62,1540,41042601100,594733600,-15739979400,-25897355300
2022-06-22,95700,95700,91700,92200,3509830,-3.1512605042016806,67121818053000,3509830,326448858700,728002365,90394,6.59,1.02,13989,1.67,1540,23446855200,1164235900,21251175900,-45862267000
2022-06-23,92100,93000,89700,90200,3983116,-2.1691973969631237,65665813323000,3983116,362603763000,728002365,90394,6.45,1.0,13989,1.71,1540,58016178200,1348473700,12012105100,-71376757000
2022-06-24,90500,92000,90500,91600,3045970,1.5521064301552108,66685016634000,3045970,278278274300,728002365,90394,6.55,1.01,13989,1.68,1540,29474759300,-785827900,-11164648500,-17524282900
2022-06-27,92700,96100,92600,95000,3408749,3.711790393013101,69160224675000,3408749,322782387700,728002365,90394,6.79,1.05,13989,1.62,1540,-18921555900,-308920800,-49587033500,68817510200
2022-06-28,94500,95300,93700,95300,2022966,0.3157894736842105,69378625384500,2022966,191563545550,728002365,90394,6.81,1.05,13989,1.62,1540,-16004713500,1641254600,6596310200,7767148700
2022-06-29,93300,94900,92900,94000,2529973,-1.3641133263378804,68432222310000,2529973,237096895400,728002365,90394,6.72,1.04,13989,1.64,1540,-16528899300,2234760800,7064813500,7229325000
