날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-30,581000,583000,579000,581000,20560,0.8680555555555556,10963470000000,20560,11946164000,18870000,430439,12.73,1.35,45648,3.44,20000,-441659000,-24960000,-1643481000,2110100000
2022-05-31,582000,595000,580000,595000,91556,2.4096385542168677,11227650000000,91556,54122726000,18870000,430439,13.03,1.38,45648,3.36,20000,-5479035000,-189093000,-6267022000,11935150000
2022-06-02,590000,594000,579000,585000,48746,-1.680672268907563,11038950000000,48746,28607948000,18870000,430439,12.82,1.36,45648,3.42,20000,-9845392000,-119215000,2503276000,7461331000
2022-06-03,586000,588000,561000,572000,75005,-2.2222222222222223,10793640000000,75005,42630497000,18870000,430439,12.53,1.33,45648,3.5,20000,-14834945000,-93731000,7785130000,7143546000
2022-06-07,572000,579000,565000,577000,30949,0.8741258741258742,10887990000000,30949,17791954000,18870000,430439,12.64,1.34,45648,3.47,20000,-3490146000,-355053000,-3588290000,7433489000
2022-06-08,577000,580000,567000,570000,30127,-1.2131715771230502,10755900000000,30127,17177564000,18870000,430439,12.49,1.32,45648,3.51,20000,-2899784000,-15416000,1011267000,1903933000
2022-06-09,569000,570000,561000,565000,31678,-0.8771929824561403,10661550000000,31678,17871316000,18870000,430439,12.38,1.31,45648,3.54,20000,-3829377000,-70625000,648895000,3251107000
2022-06-10,560000,560000,552000,557000,31567,-1.415929203539823,10510590000000,31567,17522064000,18870000,430439,12.2,1.29,45648,3.59,20000,-6894539000,-148466000,1314469000,5728536000
2022-06-13,543000,554000,543000,546000,34880,-1.9748653500897666,10303020000000,34880,19039651000,18870000,430439,11.96,1.27,45648,3.66,20000,-2333939000,-477044000,-1565581000,4376564000
2022-06-14,545000,549000,531000,535000,53650,-2.0146520146520146,10095450000000,53650,28722230000,18870000,430439,11.72,1.24,45648,3.74,20000,-2993123000,20626000,2267499000,704998000
2022-06-15,539000,543000,516000,517000,45396,-3.364485981308411,9755790000000,45396,23755762000,18870000,430439,11.33,1.2,45648,3.87,20000,-5222673000,34833000,4598563000,589277000
2022-06-16,520000,532000,518000,525000,34033,1.5473887814313347,9906750000000,34033,17878255000,18870000,430439,11.5,1.22,45648,3.81,20000,-189145000,-19963000,77394000,131714000
2022-06-17,519000,531000,513000,530000,35290,0.9523809523809524,10001100000000,35290,18507665000,18870000,430439,11.61,1.23,45648,3.77,20000,3903797000,476000,-1640936000,-2263337000
2022-06-20,535000,535000,512000,515000,28782,-2.8301886792452833,9718050000000,28782,14901416000,18870000,430439,11.28,1.2,45648,3.88,20000,210129000,50470000,1565910000,-1826509000
2022-06-21,524000,526000,514000,520000,20853,0.9708737864077669,9812400000000,20853,10854139000,18870000,430439,11.39,1.21,45648,3.85,20000,2465489000,-5180000,-1247338000,-1212971000
2022-06-22,524000,524000,507000,509000,23860,-2.1153846153846154,9604830000000,23860,12193686000,18870000,430439,11.15,1.18,45648,3.93,20000,-1374103000,-15195000,314922000,1074376000
2022-06-23,508000,509000,491000,494000,40872,-2.9469548133595285,9321780000000,40872,20320733500,18870000,430439,10.82,1.15,45648,4.05,20000,3168851000,44034000,29946500,-3242831500
2022-06-24,494000,499000,486500,493000,46276,-0.20242914979757085,9302910000000,46276,22815634000,18870000,430439,10.8,1.15,45648,4.06,20000,2041300500,-337365500,349924500,-2053859500
2022-06-27,493000,502000,483000,500000,38614,1.4198782961460445,9435000000000,38614,19095709000,18870000,430439,10.95,1.16,45648,4.0,20000,-6052021500,45108500,1405508500,4601404500
2022-06-28,500000,506000,492000,499500,33143,-0.1,9425565000000,33143,16472858500,18870000,430439,10.94,1.16,45648,4.0,20000,-6336284000,115632000,1859064500,4361587500
2022-06-29,495000,501000,490500,494500,31309,-1.001001001001001,9331215000000,31309,15485882000,18870000,430439,10.83,1.15,45648,4.04,20000,-4070043500,4498849000,1430793000,-1859598500
2022-06-30,496000,500000,487500,487500,34722,-1.4155712841253791,9199125000000,34722,17104133000,18870000,430439,10.68,1.13,45648,4.1,20000,-1614287500,3232765000,810779500,-2429257000
2022-07-01,488000,493000,478000,481000,36303,-1.3333333333333335,9076470000000,36303,17478418000,18870000,430439,10.54,1.12,45648,4.16,20000,-2308542500,2751123000,-2000786500,1558206000
2022-07-04,481000,487000,472000,481000,26579,0.0,9076470000000,26579,12694277500,18870000,430439,10.54,1.12,45648,4.16,20000,-2432176500,1252492000,-748365000,1928049500
2022-07-05,486500,496000,481500,490500,28665,1.9750519750519753,9255735000000,28665,13976713500,18870000,430439,10.75,1.14,45648,4.08,20000,-1796090000,2642320500,149186000,-995416500
2022-07-06,483000,484000,452000,452000,90078,-7.8491335372069315,8529240000000,90078,41394748500,18870000,430439,9.9,1.05,45648,4.42,20000,-17301495500,4637897000,16515850000,-3852251500
2022-07-07,456000,464500,453000,459500,42329,1.6592920353982303,8670765000000,42329,19453521500,18870000,430439,10.07,1.07,45648,4.35,20000,-1704695500,2562552500,-2302520500,1444663500
2022-07-08,461000,471500,460500,463000,35500,0.7616974972796519,8736810000000,35500,16592616000,18870000,430439,10.14,1.08,45648,4.32,20000,1544976000,1609520500,-3355924500,201428000
2022-07-11,463500,466000,457000,463500,20774,0.10799136069114472,8746245000000,20774,9586630000,18870000,430439,10.15,1.08,45648,4.31,20000,-3034942000,1007489500,942083000,1085369500
2022-07-12,463500,463500,453000,453500,26706,-2.157497303128371,8557545000000,26706,12161711000,18870000,430439,9.93,1.05,45648,4.41,20000,-859833500,1246832500,1996532500,-2383531500
2022-07-13,450000,457000,441000,454500,39294,0.2205071664829107,8576415000000,39294,17682246500,18870000,430439,9.96,1.06,45648,4.4,20000,-3124774500,1530261500,855095500,739417500
2022-07-14,454000,456000,448000,452000,22931,-0.5500550055005501,8529240000000,22931,10363706000,18870000,430439,9.9,1.05,45648,4.42,20000,-2963254000,5856000,1388332000,1569066000
2022-07-15,454000,455000,445000,450000,20009,-0.4424778761061947,8491500000000,20009,9006297500,18870000,430439,9.86,1.05,45648,4.44,20000,-1354735500,1185993000,-141078000,309820500
2022-07-18,451000,460000,447500,460000,36699,2.2222222222222223,8680200000000,36699,16698501250,18870000,430439,10.08,1.07,45648,4.35,20000,-612900500,-356290000,-750438500,1719629000
2022-07-19,458500,463000,455000,456500,23273,-0.7608695652173914,8614155000000,23273,10645990500,18870000,430439,10.0,1.06,45648,4.38,20000,-1046944000,808771500,-651425500,889598000
2022-07-20,461000,461500,453000,457500,39108,0.21905805038335158,8633025000000,39108,17839447500,18870000,430439,10.02,1.06,45648,4.37,20000,-3976418500,-826962500,2315277000,2488104000
2022-07-21,456000,461000,453500,459500,37387,0.4371584699453552,8670765000000,37387,17112946500,18870000,430439,10.07,1.07,45648,4.35,20000,-5801851000,1396522500,28336000,4376992500
2022-07-22,457000,465500,457000,463500,36613,0.8705114254624592,8746245000000,36613,16931187250,18870000,430439,10.15,1.08,45648,4.31,20000,3540421500,1027596000,-120917000,-4447100500
2022-07-25,462500,469000,461500,468500,34336,1.0787486515641855,8840595000000,34336,16023389000,18870000,430439,10.26,1.09,45648,4.27,20000,2897806000,-120550500,696152500,-3473408000
2022-07-26,466000,473000,464500,471500,22854,0.6403415154749199,8897205000000,22854,10737552500,18870000,430439,10.33,1.1,45648,4.24,20000,2006445500,0,1273213000,-3279658500
2022-07-27,471000,473500,462500,467000,29138,-0.9544008483563097,8812290000000,29138,13596975500,18870000,430439,10.23,1.08,45648,4.28,20000,-854848000,228201000,1396683000,-770036000
2022-07-28,469500,474000,467500,472500,29431,1.177730192719486,8916075000000,29431,13874864000,18870000,430439,10.35,1.1,45648,4.23,20000,-1132848000,-250645000,568074000,815419000
2022-07-29,479500,483500,476000,477500,41110,1.0582010582010581,9010425000000,41110,19656215500,18870000,430439,10.46,1.11,45648,4.19,20000,-198068500,-81437500,279796000,-290000
2022-08-01,477000,493500,476500,487000,65539,1.9895287958115182,9189690000000,65539,31835073000,18870000,430439,10.67,1.13,45648,4.11,20000,277911000,248062500,2792640000,-3318613500
2022-08-02,480000,483000,475500,479500,27877,-1.5400410677618068,9048165000000,27877,13353779000,18870000,430439,10.5,1.11,45648,4.17,20000,-1774642500,10499000,2699926500,-935783000
2022-08-03,480500,482500,471000,478000,40180,-0.31282586027111575,9019860000000,40180,19131739000,18870000,430439,10.47,1.11,45648,4.18,20000,-2562932000,60383500,5183506000,-2680957500
2022-08-04,479000,482500,475500,481000,28529,0.6276150627615062,9076470000000,28529,13655468000,18870000,430439,10.54,1.12,45648,4.16,20000,-459287000,521645000,3162108000,-3224466000
2022-08-05,490000,516000,490000,516000,107743,7.276507276507277,9736920000000,107743,54415097500,18870000,430439,11.3,1.2,45648,3.88,20000,4219532500,414680000,-1932331500,-2701881000
2022-08-08,530000,560000,524000,553000,197036,7.170542635658915,10435110000000,197036,107029056000,18870000,430439,12.11,1.28,45648,3.62,20000,-16246561000,34363547000,-10163588000,-7953398000
2022-08-09,551000,576000,550000,562000,97837,1.62748643761302,10604940000000,97837,55119761000,18870000,430439,12.31,1.31,45648,3.56,20000,11007466000,5553665000,-1372716000,-15188415000
2022-08-10,564000,571000,554000,563000,55920,0.1779359430604982,10623810000000,55920,31453417000,18870000,430439,12.33,1.31,45648,3.55,20000,4833010000,841992000,-2682073000,-2992929000
2022-08-11,565000,589000,561000,586000,95491,4.085257548845471,11057820000000,95491,55474519000,18870000,430439,12.84,1.36,45648,3.41,20000,13488855000,2882253000,-12217925000,-4153183000
2022-08-12,579000,600000,579000,588000,53603,0.3412969283276451,11095560000000,53603,31669546000,18870000,430439,12.88,1.37,45648,3.4,20000,9782373000,5616671000,-2949078000,-12449966000
2022-08-16,589000,607000,585000,596000,45446,1.3605442176870748,11246520000000,45446,27141964000,18870000,430439,13.06,1.38,45648,3.36,20000,7122112000,75485000,-3884370000,-3313227000
2022-08-17,600000,619000,590000,597000,65742,0.16778523489932887,11265390000000,65742,39624921000,18870000,430439,13.08,1.39,45648,3.35,20000,-983454000,1434155000,-2148541000,1697840000
2022-08-18,592000,598000,586000,589000,42007,-1.340033500837521,11114430000000,42007,24798995000,18870000,430439,12.9,1.37,45648,3.4,20000,-3795479000,942907000,-2512692000,5365264000
2022-08-19,590000,596000,581000,587000,38105,-0.3395585738539898,11076690000000,38105,22386681000,18870000,430439,12.86,1.36,45648,3.41,20000,-1473235000,470393000,-2071234000,3074076000
