날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-30,17800,18200,17600,17800,413083,1.1363636363636365,1114941376800,413083,7397702800,62637156,972,0.0,18.31,0,0.0,0,561838100,8850000,-1980618050,1409929950
2022-05-31,17900,17900,17400,17650,317684,-0.8426966292134831,1105545803400,317684,5598743450,62637156,972,0.0,18.16,0,0.0,0,-178739900,300050,565895850,-387456000
2022-06-02,17500,18100,17500,17900,232467,1.41643059490085,1121205092400,232467,4156798250,62637156,972,0.0,18.42,0,0.0,0,-49629450,35699950,-1051324450,1065253950
2022-06-03,18200,18200,17950,18050,282775,0.8379888268156425,1130600665800,282775,5114797400,62637156,972,0.0,18.57,0,0.0,0,344412450,5415000,-885339250,535511800
2022-06-07,17900,18100,17450,17450,350196,-3.32409972299169,1093018372200,350196,6201316500,62637156,972,0.0,17.95,0,0.0,0,-657688450,-8545700,2727726450,-2061492300
2022-06-08,17500,19650,17500,19050,1905972,9.169054441260744,1193237821800,1905972,36231117800,62637156,972,0.0,19.6,0,0.0,0,453588200,54362000,-3291884200,2783934000
2022-06-09,19050,19150,18500,18950,619833,-0.5249343832020997,1186974106200,619833,11626486050,62637156,972,0.0,19.5,0,0.0,0,-421541700,-27305200,1534828100,-1085981200
2022-06-10,18750,19350,18550,18950,512582,0.0,1186974106200,512582,9730688200,62637156,972,0.0,19.5,0,0.0,0,-28680150,-492700,1238345150,-1209172300
2022-06-13,18600,19300,18550,18550,565119,-2.1108179419525066,1161919243800,565119,10630220600,62637156,972,0.0,19.08,0,0.0,0,-421245900,281435000,2389040650,-2249229750
2022-06-14,18050,18500,17550,18150,500495,-2.15633423180593,1136864381400,500495,9029120250,62637156,972,0.0,18.67,0,0.0,0,614825550,52959600,-110062100,-557723050
2022-06-15,18000,18250,17100,17250,550419,-4.958677685950414,1080490941000,550419,9589520600,62637156,972,0.0,17.75,0,0.0,0,333497400,61073000,1912236500,-2306806900
2022-06-16,17700,17800,16900,16950,325891,-1.7391304347826086,1061699794200,325891,5638542100,62637156,972,0.0,17.44,0,0.0,0,269162550,-194700,8248750,-277216600
2022-06-17,16350,17350,16100,16950,428769,0.0,1061699794200,428769,7198733300,62637156,972,0.0,17.44,0,0.0,0,24265200,0,-866238800,841973600
2022-06-20,17850,18800,17600,18050,824011,6.489675516224189,1130600665800,824011,14947991650,62637156,972,0.0,18.57,0,0.0,0,727631750,-11401200,-574262850,-141967700
2022-06-21,18200,18500,17950,18450,371644,2.21606648199446,1155655528200,371644,6799428950,62637156,972,0.0,18.98,0,0.0,0,202900350,5535000,433114500,-641549850
2022-06-22,18500,18700,17800,17850,401396,-3.2520325203252036,1118073234600,401396,7315126350,62637156,972,0.0,18.36,0,0.0,0,-521199200,-604450,581722150,-59918500
2022-06-23,17850,18350,17250,17250,523473,-3.361344537815126,1080490941000,523473,9285328900,62637156,972,0.0,17.75,0,0.0,0,613395650,-3666350,-133834600,-475894700
2022-06-24,17700,18450,17550,18350,527471,6.3768115942028984,1149391812600,527471,9556391800,62637156,972,0.0,18.88,0,0.0,0,737322400,11712300,-2758789150,2009754450
