날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,122018,124410,120486,122018,21487,0.15677969579814,835899307500,20563,2636545600,6556073,60506,8.29,2.11,15377,0.0,0,-138762900,1935000,-304650000,441477900
2022-05-27,123166,123932,120678,122401,14819,0.31388811486829815,838521736700,14182,1805024400,6556073,60506,8.32,2.11,15377,0.0,0,59399700,-126800,263545200,-322818100
2022-05-30,123262,125176,122113,123741,19190,1.0947622976936462,847700238900,18365,2370094800,6556073,60506,8.41,2.14,15377,0.0,0,322780200,-1685300,-233463600,-87631300
2022-05-31,123453,124410,120678,121061,38853,-2.165814079407795,829343234500,37183,4725452000,6556073,60506,8.23,2.09,15377,0.0,0,-422666600,3805000,2142927400,-1724065800
2022-06-02,121061,122496,120199,120678,20477,-0.31636943359133,826720805300,19597,2477889800,6556073,60506,8.2,2.08,15377,0.0,0,-265986000,0,500854200,-234868200
2022-06-03,121539,122879,119529,120296,22043,-0.31654485490313067,824098376100,21095,2653711300,6556073,60506,8.17,2.08,15377,0.0,0,-6375900,-1897500,666725200,-658451800
2022-06-07,120104,120295,116754,118190,27011,-1.750681651925251,809675015500,25850,3187686800,6556073,60506,8.03,2.04,15377,0.0,0,-489398800,17425500,1704087000,-1232113700
2022-06-08,119051,122018,118572,119530,24928,1.133767662238768,818853517700,23856,2994422500,6556073,60506,8.12,2.06,15377,0.0,0,292270900,106949000,-519295900,120076000
2022-06-09,120008,120008,117424,119530,34035,0.0,818853517700,32572,4032632800,6556073,60506,8.12,2.06,15377,0.0,0,-276410000,247126000,-16219600,45503600
2022-06-10,119338,119338,117041,117233,17425,-1.9216932987534512,803118942500,16676,2049598100,6556073,60506,7.97,2.02,15377,0.0,0,-372388300,229422700,-14167200,157132800
2022-06-13,115414,116371,111586,111587,34640,-4.816050088285722,764438111800,33151,3939058900,6556073,60506,7.58,1.93,15377,0.0,0,-1005574400,229784900,864597000,-88807500
2022-06-14,110055,112352,109098,111013,37924,-0.5143968383413838,760504468000,36293,4193817100,6556073,60506,7.54,1.92,15377,0.0,0,206690500,173797000,-674903900,294416400
2022-06-15,111778,111873,108141,109099,21533,-1.7241224000792699,747392322000,20607,2351143100,6556073,60506,7.41,1.88,15377,0.0,0,71137700,228320000,-4442300,-295015400
2022-06-16,109577,111108,106036,106419,26632,-2.456484477401259,729035317600,25487,2891904500,6556073,60506,7.23,1.84,15377,0.0,0,-259974500,221161200,552389200,-513575900
2022-06-17,104026,105844,103739,104888,32846,-1.4386528721374943,718545600800,31434,3434355100,6556073,60506,7.13,1.81,15377,0.0,0,-230918200,246896700,-552531600,536553100
2022-06-20,104887,105940,100294,101251,27160,-3.4675081992220274,693632523400,25992,2781587500,6556073,60506,6.88,1.75,15377,0.0,0,216552700,176527300,115679000,-508759000
2022-06-21,101442,107280,101251,106610,30779,5.292787231731045,730346532200,29456,3228501000,6556073,60506,7.24,1.84,15377,0.0,0,702461200,211765000,-1171257300,257031100
2022-06-22,107567,111395,106514,110056,54682,3.232342181784073,753948395000,52331,5990660400,6556073,60506,7.48,1.9,15377,0.0,0,-331874800,687445500,-1810889000,1455318300
2022-06-23,111778,112352,106706,106706,29657,-3.0439049211310607,731002139500,28382,3259492600,6556073,60506,7.25,1.84,15377,0.0,0,562170600,216026200,-418222000,-359974800
2022-06-24,107663,112065,106706,111778,23365,4.753247240080221,765749326400,22360,2589925400,6556073,60506,7.6,1.93,15377,0.0,0,635243200,230434500,-1248190700,382513000
2022-06-27,109098,113309,108428,112352,24946,0.5135178657696505,769682970200,23873,2776397500,6556073,60506,7.63,1.94,15377,0.0,0,-342404100,223662100,-189007900,307749900
2022-06-28,111395,112639,108811,110151,15816,-1.9590216462546284,754604002300,15136,1746430300,6556073,60506,7.49,1.9,15377,0.0,0,-178924300,176550800,227922800,-225549300
2022-06-29,110055,110534,107567,107663,20219,-2.2587175785966536,737558212500,19350,2201661200,6556073,60506,7.32,1.86,15377,0.0,0,-484235300,163706700,322111600,-1583000
2022-06-30,107280,109194,104887,105366,42166,-2.1335091907154733,721823637300,40353,4477582600,6556073,60506,7.16,1.82,15377,0.0,0,-2495995300,223884600,664590100,1607520600
2022-07-01,105366,108332,105366,106802,19447,1.362868477497485,731657746800,18611,2076702100,6556073,60506,7.26,1.84,15377,0.0,0,70066200,222804000,-367035700,74165500
2022-07-04,106706,107280,104887,106036,14355,-0.7172150334263403,726412888400,13738,1524133900,6556073,60506,7.21,1.83,15377,0.0,0,62939500,222408700,122857600,-408205800
2022-07-05,106227,109577,106227,109194,30278,2.9782338073861707,748047929300,28976,3284124900,6556073,60506,7.42,1.89,15377,0.0,0,27929100,216621400,-693407100,448856600
2022-07-06,107854,110342,106514,107663,18594,-1.402091690019598,737558212500,17795,2032351000,6556073,60506,7.32,1.86,15377,0.0,0,-125566600,90531500,-235724300,270759400
2022-07-07,108045,110055,105270,109099,19310,1.333791553272712,747392322000,18480,2104173900,6556073,60506,7.41,1.88,15377,0.0,0,-259363200,-1143000,224032600,36473600
2022-07-08,109098,110629,108332,108907,12730,-0.1759869476347171,746081107400,12183,1392648000,6556073,60506,7.4,1.88,15377,0.0,0,-9548000,0,135234100,-125686100
2022-07-11,108332,110247,106897,107567,24632,-1.2304075954713656,736902605200,23573,2663462600,6556073,60506,7.31,1.86,15377,0.0,0,-236946000,2244000,-911072000,1145774000
2022-07-12,107663,111873,105940,109386,31441,1.6910390733217435,749359143900,30089,3399630700,6556073,60506,7.43,1.89,15377,0.0,0,-253071800,0,-203139300,456211100
2022-07-13,109385,110534,108141,109960,21071,0.5247472254219004,753292787700,20165,2303740400,6556073,60506,7.47,1.9,15377,0.0,0,-198627300,0,-126324300,324951600
