날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,69124,70510,68084,68605,74357,-0.6257514086649189,2984339397600,70901,5660645500,37681053,8841,85.99,8.96,921,0.0,0,-44630300,240200,1168454900,-1124064800
2022-05-27,69210,70510,68344,68691,66458,0.12535529480358576,2988107502900,63369,5076371500,37681053,8841,86.1,8.97,921,0.0,0,386900300,-8040400,108142800,-487002700
2022-05-30,69470,70422,68776,69731,63113,1.5140265828128867,3033324766500,60179,4839261700,37681053,8841,87.4,9.11,921,0.0,0,864828900,40250000,-1184757300,279678400
2022-05-31,70076,70857,68690,70857,129100,1.6147767850740704,3082310135400,123097,9976706400,37681053,8841,88.82,9.25,921,0.0,0,-355610900,0,-1503100700,1858711600
2022-06-02,70248,71461,69815,70163,59810,-0.9794374585432633,3052165293000,57030,4647905300,37681053,8841,87.95,9.16,921,0.0,0,-128337700,895900,-326119800,453561600
2022-06-03,70855,73107,70682,70683,78998,0.741131365534541,3074773924800,75325,6222320000,37681053,8841,88.6,9.23,921,0.0,0,697902500,2535300,-11842100,-688595700
2022-06-07,70682,70682,68170,68258,79021,-3.43081080316342,2969266976400,75347,5988815200,37681053,8841,85.56,8.91,921,0.0,0,-1385506200,-641800,2029575600,-643427600
2022-06-08,68516,70855,68516,70770,80696,3.6801547071405554,3078542030100,76945,6238827300,37681053,8841,88.71,9.24,921,0.0,0,1464640200,3016100,-3402207800,1934551500
2022-06-09,70075,71288,69555,71289,89402,0.7333615938957185,3101150661900,85246,6965336700,37681053,8841,89.36,9.31,921,0.0,0,-541477800,-112130500,22884600,630723700
2022-06-10,70250,71028,69297,69298,64439,-2.7928572430529255,3014484240000,61444,4968932400,37681053,8841,86.86,9.05,921,0.0,0,-268662900,5979400,812789600,-550106100
2022-06-13,67389,68169,66437,66525,96669,-4.001558486536408,2893904870400,92174,7152661800,37681053,8841,83.39,8.69,921,0.0,0,-670411600,1009200,1109024500,-439622100
