날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-30,10550,10550,10200,10300,234881,-1.4354066985645932,249064506000,234881,2423234800,24181020,3641,0.0,2.83,0,0.0,0,32655450,-825781600,1022727900,-229601750
2022-05-31,10250,10300,9990,10050,173550,-2.4271844660194173,243019251000,173550,1745692530,24181020,3641,0.0,2.76,0,0.0,0,10050000,-26623600,10483250,6090350
2022-06-02,10100,10150,9830,9990,98079,-0.5970149253731344,241568389800,98079,980600610,24181020,3641,0.0,2.74,0,0.0,0,0,10984000,125014870,-135998870
2022-06-03,10100,10100,9910,9970,99776,-0.20020020020020018,241084769400,99776,994981310,24181020,3641,0.0,2.74,0,0.0,0,0,31610210,77411000,-109021210
2022-06-07,9930,10250,9860,10050,151330,0.802407221664995,243019251000,151330,1524117720,24181020,3641,0.0,2.76,0,0.0,0,0,4941850,-258655100,253713250
2022-06-08,10000,10350,9930,10300,157531,2.4875621890547266,249064506000,157531,1610943590,24181020,3641,0.0,2.83,0,0.0,0,933800,-4793550,-206641740,210501490
2022-06-09,10300,10300,10000,10100,118051,-1.9417475728155338,244228302000,118051,1193163850,24181020,3641,0.0,2.77,0,0.0,0,0,8025000,-92823950,84798950
2022-06-10,10050,10150,9980,10150,102678,0.49504950495049505,245437353000,102678,1031473830,24181020,3641,0.0,2.79,0,0.0,0,0,999000,-30594640,29595640
2022-06-13,9960,9980,9550,9590,219817,-5.517241379310345,231895981800,219817,2133090960,24181020,3641,0.0,2.63,0,0.0,0,-19620000,16888980,286628630,-283897610
2022-06-14,9300,9410,9130,9320,158604,-2.815432742440042,225367106400,158604,1465341140,24181020,3641,0.0,2.56,0,0.0,0,-9320,10656500,35107460,-45754640
2022-06-15,9300,9410,8940,9010,152949,-3.3261802575107295,217870990200,152949,1393840160,24181020,3641,0.0,2.47,0,0.0,0,8990,6653500,-49762280,43099790
2022-06-16,9120,9570,8920,9120,164960,1.2208657047724751,220530902400,164960,1524654380,24181020,3641,0.0,2.5,0,0.0,0,0,1591750,-21937330,20345580
2022-06-17,8800,9080,8670,9050,54291,-0.7675438596491228,218838231000,54291,479913730,24181020,3641,0.0,2.49,0,0.0,0,-125080,1694100,12229330,-13798350
2022-06-20,9040,9100,8430,8540,125175,-5.6353591160221,206505910800,125175,1075444060,24181020,3641,0.0,2.35,0,0.0,0,0,49103200,19414690,-68517890
2022-06-21,8770,8770,8210,8430,82219,-1.288056206088993,203845998600,82219,689989670,24181020,3641,0.0,2.32,0,0.0,0,-30,1286110,-110561010,109274930
2022-06-22,8450,8650,7950,8010,103218,-4.98220640569395,193689970200,103218,838665790,24181020,3641,0.0,2.2,0,0.0,0,171560,-127703790,171068420,-43536190
2022-06-23,8030,8130,7610,7740,101261,-3.3707865168539324,187161094800,101261,785419360,24181020,3641,0.0,2.13,0,0.0,0,-15480,24932540,-112749970,87832910
2022-06-24,7790,8150,7690,8050,69739,4.0051679586563305,194657211000,69739,560327070,24181020,3641,0.0,2.21,0,0.0,0,-24150,-179347760,93700760,85671150
2022-06-27,8080,8360,8060,8290,73376,2.981366459627329,200460655800,73376,607169650,24181020,3641,0.0,2.28,0,0.0,0,-24710,-144666900,131037920,13653690
2022-06-28,8370,8370,8110,8280,45863,-0.12062726176115801,200218845600,45863,375876910,24181020,3641,0.0,2.27,0,0.0,0,-8380,-50872790,116605530,-65724360
2022-06-29,8180,8220,8050,8070,24915,-2.536231884057971,195140831400,24915,202217570,24181020,3641,0.0,2.22,0,0.0,0,-16170,-7651920,32118380,-24450290
2022-06-30,8170,8170,7900,7900,51058,-2.1065675340768277,191030058000,51058,408390050,24181020,3641,0.0,2.17,0,0.0,0,-15922840,561200,119928060,-104566420
2022-07-01,7900,8180,7540,7650,73659,-3.1645569620253164,184984803000,73659,569502800,24181020,3641,0.0,2.1,0,0.0,0,-44768770,47312560,92193010,-94736800
2022-07-04,7630,7770,7400,7450,46438,-2.6143790849673203,180148599000,46438,349190550,24181020,3641,0.0,2.05,0,0.0,0,0,744800,14005720,-14750520
2022-07-05,7550,7890,7550,7840,79025,5.23489932885906,189579196800,79025,611362110,24181020,3641,0.0,2.15,0,0.0,0,-15680,7790,-293238540,293246430
2022-07-06,7880,8390,7840,8150,119693,3.9540816326530615,197075313000,119693,982881840,24181020,3641,0.0,2.24,0,0.0,0,3505600,-6998980,-87836190,91329570
2022-07-07,8180,8310,8110,8210,40948,0.7361963190184049,198526174200,40948,336791220,24181020,3641,0.0,2.25,0,0.0,0,-3481980,0,115639280,-112157300
2022-07-08,8250,8480,8180,8200,112291,-0.12180267965895249,198284364000,112291,935543940,24181020,3641,0.0,2.25,0,0.0,0,-8200,-8380000,-68209740,76597940
2022-07-11,8230,8420,8130,8380,34536,2.195121951219512,202636947600,34536,287315720,24181020,3641,0.0,2.3,0,0.0,0,0,-4905300,30235070,-25329770
2022-07-12,8390,8390,8070,8100,56307,-3.341288782816229,195866262000,56307,459022510,24181020,3641,0.0,2.22,0,0.0,0,8170,0,62442700,-62450870
2022-07-13,8150,8250,8020,8020,44952,-0.9876543209876543,193931780400,44952,363016580,24181020,3641,0.0,2.2,0,0.0,0,8090,4050000,11480030,-15538120
2022-07-14,7990,8150,7960,8090,30850,0.8728179551122194,195624451800,30850,248074120,24181020,3641,0.0,2.22,0,0.0,0,0,0,-28089150,28089150
2022-07-15,8090,8150,7850,8010,40754,-0.9888751545117428,193689970200,40754,324569300,24181020,3641,0.0,2.2,0,0.0,0,0,39750000,-27875700,-11874300
2022-07-18,8190,8440,8080,8300,70678,3.620474406991261,200702466000,70678,584784630,24181020,3641,0.0,2.28,0,0.0,0,0,0,669760,-669760
2022-07-19,8300,8380,8160,8270,39751,-0.3614457831325301,199977035400,39751,328303110,24181020,3641,0.0,2.27,0,0.0,0,-8270,-17168800,-1076380,18253450
2022-07-20,8370,8400,8220,8220,45663,-0.6045949214026602,198767984400,45663,378778570,24181020,3641,0.0,2.26,0,0.0,0,-8220,-8290,29177300,-29160790
2022-07-21,8290,8290,8140,8150,33746,-0.851581508515815,197075313000,33746,276818720,24181020,3641,0.0,2.24,0,0.0,0,0,1636000,36429060,-38065060
2022-07-22,8150,8240,8040,8070,28477,-0.98159509202454,195140831400,28477,230904440,24181020,3641,0.0,2.22,0,0.0,0,0,0,92458870,-92458870
2022-07-25,8070,8130,7930,8120,58650,0.6195786864931847,196349882400,58650,468955440,24181020,3641,0.0,2.23,0,0.0,0,-4121900,799300,13656990,-10334390
2022-07-26,8120,8370,8070,8270,50674,1.8472906403940887,199977035400,50674,416029540,24181020,3641,0.0,2.27,0,0.0,0,-8270,0,11045340,-11037070
2022-07-27,8260,8330,8170,8270,41907,0.0,199977035400,41907,346119730,24181020,3641,0.0,2.27,0,0.0,0,0,824000,-11677380,10853380
2022-07-28,8330,8400,8160,8170,38871,-1.2091898428053205,197558933400,38871,319641080,24181020,3641,0.0,2.24,0,0.0,0,0,9019890,63561940,-72581830
2022-07-29,8190,8370,8190,8210,35462,0.4895960832313341,198526174200,35462,293194300,24181020,3641,0.0,2.25,0,0.0,0,8220,-411500,10481820,-10078540
2022-08-01,8210,8270,8110,8130,58692,-0.9744214372716199,196591692600,58692,479527980,24181020,3641,0.0,2.23,0,0.0,0,8200,-70000,-532260,594060
