날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-30,11100,11250,11000,11250,27121,1.3513513513513513,77718172500,27121,301532200,6908282,3450,0.0,3.26,0,0.0,0,-75635900.0,14667500.0,-41479300.0,102447700.0
2022-05-31,11200,11300,10950,11150,22484,-0.8888888888888888,77027344300,22484,249550550,6908282,3450,0.0,3.23,0,0.0,0,-23436350.0,-12365000.0,3563100.0,32238250.0
2022-06-02,11150,11150,10900,11000,32296,-1.345291479820628,75991102000,32296,354768300,6908282,3450,0.0,3.19,0,0.0,0,-86863650.0,-4402500.0,70524200.0,20741950.0
2022-06-03,11000,11150,10750,10750,47762,-2.272727272727273,74264031500,47762,518119400,6908282,3450,0.0,3.12,0,0.0,0,-93024650.0,0.0,54179900.0,38844750.0
2022-06-07,10750,10900,10000,10400,97424,-3.255813953488372,71846132800,97424,996463250,6908282,3450,0.0,3.01,0,0.0,0,157991750.0,-4885200.0,-102009600.0,-51096950.0
2022-06-08,10400,10500,10000,10300,58144,-0.9615384615384616,71155304600,58144,592414950,6908282,3450,0.0,2.99,0,0.0,0,45805250.0,0.0,-180165250.0,134360000.0
2022-06-09,10300,10300,9980,9980,62141,-3.1067961165048543,68944654360,62141,622402850,6908282,3450,0.0,2.89,0,0.0,0,-165164380.0,-80000000.0,144084270.0,101080110.0
2022-06-10,9960,9980,9640,9980,56408,0.0,68944654360,56408,552773110,6908282,3450,0.0,2.89,0,0.0,0,-81444250.0,0.0,108857910.0,-27413660.0
2022-06-13,9690,9690,9270,9470,56808,-5.110220440881764,65421430540,56808,531799460,6908282,3450,0.0,2.74,0,0.0,0,-60495320.0,0.0,167034120.0,-106538800.0
2022-06-14,9100,9420,8990,9380,42492,-0.9503695881731784,64799685160,42492,389278930,6908282,3450,0.0,2.72,0,0.0,0,-77438170.0,0.0,57590020.0,19848150.0
2022-06-15,9120,9360,8670,8840,56257,-5.756929637526652,61069212880,56257,503113760,6908282,3450,0.0,2.56,0,0.0,0,-45475680.0,0.0,119016970.0,-73541290.0
2022-06-16,8840,9160,8600,8600,41391,-2.7149321266968327,59411225200,41391,366548440,6908282,3450,0.0,2.49,0,0.0,0,-52892310.0,0.0,5910440.0,46981870.0
2022-06-17,8590,8590,8030,8200,62513,-4.651162790697675,56647912400,62513,512465340,6908282,3450,0.0,2.38,0,0.0,0,-648160.0,0.0,-52713440.0,53361600.0
2022-06-20,8330,8330,7500,7500,77932,-8.536585365853659,51812115000,77932,603204830,6908282,3450,0.0,2.17,0,0.0,0,-71246690.0,0.0,6837390.0,64409300.0
2022-06-21,7590,7760,7550,7630,36379,1.7333333333333332,52710191660,36379,279039790,6908282,3450,0.0,2.21,0,0.0,0,-92274580.0,0.0,-40863890.0,133138470.0
2022-06-22,7610,7770,7100,7100,55222,-6.946264744429882,49048802200,55222,404699520,6908282,3450,0.0,2.06,0,0.0,0,-65136160.0,1420000.0,65610230.0,-1894070.0
2022-06-23,7050,7200,6730,6960,49882,-1.971830985915493,48081642720,49882,347431620,6908282,3450,0.0,2.02,0,0.0,0,-45600810.0,14822140.0,7990560.0,22788110.0
