날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,12700,12850,12300,12300,581461,-2.766798418972332,955445574600,581461,7244187550,77678502,2659,0.0,4.63,0,0.0,0,9688500,7827500,26886400,-44402400
2022-05-27,12400,12550,12150,12200,509046,-0.8130081300813009,947677724400,509046,6281090950,77678502,2659,0.0,4.59,0,0.0,0,-2579550,-635088050,-571212850,1208880450
2022-05-30,12300,12550,12200,12350,289637,1.2295081967213115,959329499700,289637,3569177900,77678502,2659,0.0,4.64,0,0.0,0,27876050,37050,-444659650,416746550
2022-05-31,12300,12500,11900,12500,520069,1.214574898785425,970981275000,520069,6356041300,77678502,2659,0.0,4.7,0,0.0,0,2774650,3454500,-567739200,561510050
2022-06-02,12550,12750,12300,12350,439355,-1.2,959329499700,439355,5491612750,77678502,2659,0.0,4.64,0,0.0,0,-9341150,-2253450,190577800,-178983200
2022-06-03,12650,13100,12350,12350,944744,0.0,959329499700,944744,11980176200,77678502,2659,0.0,4.64,0,0.0,0,-55906550,-2959850,1204388950,-1145522550
2022-06-07,12350,12450,11950,12050,345432,-2.42914979757085,936025949100,345432,4166345050,77678502,2659,0.0,4.53,0,0.0,0,-5582000,9360000,-236799050,233021050
2022-06-08,11950,12150,11650,11700,356618,-2.904564315352697,908838473400,356618,4239664050,77678502,2659,0.0,4.4,0,0.0,0,535500,-11893350,-13448650,24806500
2022-06-09,11600,11750,11250,11750,422339,0.4273504273504274,912722398500,422339,4857722200,77678502,2659,0.0,4.42,0,0.0,0,-5132000,56500,-985715600,990791100
2022-06-10,11450,11700,11200,11300,430790,-3.829787234042553,877767072600,430790,4893952650,77678502,2659,0.0,4.25,0,0.0,0,42830950,4090200,535756500,-582677650
2022-06-13,10750,11000,10650,10700,460980,-5.3097345132743365,831159971400,460980,4978239200,77678502,2659,0.0,4.02,0,0.0,0,-174072700,151900,-1208481800,1382402600
2022-06-14,10300,10900,10250,10700,398051,0.0,831159971400,398051,4197234750,77678502,2659,0.0,4.02,0,0.0,0,34296000,-39450,-571690500,537433950
2022-06-15,10700,12850,10500,11500,3946185,7.476635514018691,893302773000,3946185,46819765200,77678502,2659,0.0,4.32,0,0.0,0,19393000,-297234900,2556663050,-2278821150
2022-06-16,11550,11650,10850,10900,769266,-5.217391304347826,846695671800,769266,8661023100,77678502,2659,0.0,4.1,0,0.0,0,23721100,-4428850,132423850,-151716100
2022-06-17,10350,11000,10250,10800,550934,-0.9174311926605505,838927821600,550934,5910819800,77678502,2659,0.0,4.06,0,0.0,0,-174502650,34679250,-252919950,392743350
2022-06-20,10700,10850,9960,10100,697918,-6.481481481481481,784552870200,697918,7135165030,77678502,2659,0.0,3.8,0,0.0,0,-1220890,-12200200,1432583670,-1419162580
2022-06-21,10050,10550,9990,10350,459277,2.4752475247524752,803972495700,459277,4722464000,77678502,2659,0.0,3.89,0,0.0,0,25759600,9766200,-712770700,677244900
2022-06-22,10800,11500,10600,10800,1755101,4.3478260869565215,838927821600,1755101,19313235650,77678502,2659,0.0,4.06,0,0.0,0,417991300,55722500,-165404150,-308309650
2022-06-23,10600,10650,10000,10100,849097,-6.481481481481481,784552870200,849097,8635319820,77678502,2659,0.0,3.8,0,0.0,0,-323861900,-35281900,842717000,-483573200
2022-06-24,10000,10400,9950,10250,401637,1.4851485148514851,796204645500,401637,4108813410,77678502,2659,0.0,3.85,0,0.0,0,2467950,14249150,-507675410,490958310
2022-06-27,10350,10650,10200,10450,502464,1.951219512195122,811740345900,502464,5268324850,77678502,2659,0.0,3.93,0,0.0,0,15823000,7783550,-898179550,874573000
2022-06-28,10400,10650,10300,10400,325182,-0.4784688995215311,807856420800,325182,3391232550,77678502,2659,0.0,3.91,0,0.0,0,-3031300,-31900,144591550,-141528350
2022-06-29,10250,10400,10150,10350,341328,-0.4807692307692308,803972495700,341328,3497512700,77678502,2659,0.0,3.89,0,0.0,0,8730900,4180000,96181700,-109092600
2022-06-30,10250,10550,10200,10300,292191,-0.4830917874396135,800088570600,292191,3025738650,77678502,2659,0.0,3.87,0,0.0,0,-1992950,10300,-62945650,64928300
2022-07-01,10350,10550,9970,10050,470845,-2.4271844660194173,780668945100,470845,4777164060,77678502,2659,0.0,3.78,0,0.0,0,4684300,393200,676366680,-681444180
2022-07-04,10100,10150,9450,9790,655449,-2.587064676616915,760472534580,655449,6402358940,77678502,2659,0.0,3.68,0,0.0,0,-3624720,-5506900,868603040,-859471420
2022-07-05,9800,10600,9800,10500,675062,7.252298263534218,815624271000,675062,6930933590,77678502,2659,0.0,3.95,0,0.0,0,14880050,22047650,-2265944880,2229017180
2022-07-06,10400,10900,10350,10400,643779,-0.9523809523809524,807856420800,643779,6822710750,77678502,2659,0.0,3.91,0,0.0,0,13859350,-13694700,113088350,-113253000
2022-07-07,10550,11300,10450,11050,1127786,6.25,858347447100,1127786,12412562750,77678502,2659,0.0,4.16,0,0.0,0,246675150,6300450,-1997583600,1744608000
2022-07-08,11300,11500,10900,11150,707148,0.904977375565611,866115297300,707148,7903672000,77678502,2659,0.0,4.19,0,0.0,0,-3838350,-41145850,318008850,-273024650
2022-07-11,11400,11950,11300,11800,1309516,5.829596412556054,916606323600,1309516,15177929550,77678502,2659,0.0,4.44,0,0.0,0,118790200,169754350,218340050,-506884600
2022-07-12,11900,12750,11550,12300,2999324,4.23728813559322,955445574600,2999324,36591655850,77678502,2659,0.0,4.63,0,0.0,0,-27148500,43169000,2011470500,-2027491000
2022-07-13,12500,12550,11750,11750,1186255,-4.471544715447155,912722398500,1186255,14380004400,77678502,2659,0.0,4.42,0,0.0,0,-27002200,-66319900,1447242800,-1353920700
2022-07-14,11750,15200,11400,14850,18530224,26.382978723404253,1153525754700,18530224,260417675600,77678502,2659,0.0,5.58,0,0.0,0,-439517500,-10401100,-1674417500,2124336100
2022-07-15,14700,16500,14400,15300,14941707,3.0303030303030303,1188481080600,14941707,230950136950,77678502,2659,0.0,5.75,0,0.0,0,1101626800,35877850,-2629994450,1492489800
2022-07-18,15200,15550,14900,15400,3917954,0.6535947712418301,1196248930800,3917954,59704808100,77678502,2659,0.0,5.79,0,0.0,0,-968293350,41447350,2820255800,-1893409800
2022-07-19,15500,15800,14800,15450,3495311,0.3246753246753247,1200132855900,3495311,53748028550,77678502,2659,0.0,5.81,0,0.0,0,10487150,53681800,259664200,-323833150
2022-07-20,15300,15900,15200,15450,3304674,0.0,1200132855900,3304674,51317499550,77678502,2659,0.0,5.81,0,0.0,0,57054350,-15237250,-1568173050,1526355950
2022-07-21,15900,16650,14450,14650,7925759,-5.177993527508091,1137990054300,7925759,124342007100,77678502,2659,0.0,5.51,0,0.0,0,-52234450,-234343650,1623372300,-1336794200
2022-07-22,14700,15050,14350,14650,1648835,0.0,1137990054300,1648835,24298049200,77678502,2659,0.0,5.51,0,0.0,0,-10922300,936000,-390700750,400687050
2022-07-25,14700,14700,13550,13700,1827374,-6.484641638225256,1064195477400,1827374,25265254700,77678502,2659,0.0,5.15,0,0.0,0,-2081850,-154034600,-327989300,484105750
2022-07-26,13900,14050,13700,13800,1020187,0.7299270072992701,1071963327600,1020187,14103332150,77678502,2659,0.0,5.19,0,0.0,0,502250,-868150,-411794950,412160850
2022-07-27,13700,14350,13650,13800,1312350,0.0,1071963327600,1312350,18356263950,77678502,2659,0.0,5.19,0,0.0,0,-194167850,65631600,1324628100,-1196091850
2022-07-28,13900,13950,13200,13350,1050440,-3.260869565217391,1037008001700,1050440,14143816700,77678502,2659,0.0,5.02,0,0.0,0,5473350,-178065050,-495215200,667806900
2022-07-29,13450,13500,12950,13300,860920,-0.37453183520599254,1033340121800,860920,11340466900,77694746,2659,0.0,5.0,0,0.0,0,-41943250,-2636100,-517304400,561883750
2022-08-01,13150,13350,12600,13300,828880,0.0,1033340121800,828880,10787113400,77694746,2659,0.0,5.0,0,0.0,0,62655600,42400,-239438850,176740850
2022-08-02,13300,13450,12950,13200,693852,-0.7518796992481203,1025892278400,693852,9163021600,77719112,2659,0.0,4.96,0,0.0,0,-145933700,-55057750,1238264400,-1037272950
2022-08-03,13250,13450,13150,13200,476348,0.0,1025892278400,476348,6319458850,77719112,2659,0.0,4.96,0,0.0,0,24877950,0,441921850,-466799800
2022-08-04,13100,13700,13100,13400,984507,1.5151515151515151,1041871426600,984507,13191880500,77751599,2659,0.0,5.04,0,0.0,0,116307850,8574050,-228678000,103796100
2022-08-05,13400,13900,13300,13600,910991,1.4925373134328357,1057421746400,910991,12430445100,77751599,2659,0.0,5.11,0,0.0,0,47578800,78990850,248034850,-374604500
2022-08-08,13800,13850,13450,13600,524518,0.0,1057421746400,524518,7150484850,77751599,2659,0.0,5.11,0,0.0,0,28685150,-2217850,-160046800,133579500
2022-08-09,13650,13650,12950,13150,634417,-3.308823529411765,1022433526850,634417,8372410500,77751599,2659,0.0,4.95,0,0.0,0,48039900,-890300,507222200,-554371800
2022-08-10,12900,13350,12900,13200,498680,0.38022813688212925,1026321106800,498680,6548224950,77751599,2659,0.0,4.96,0,0.0,0,6462900,2314850,-125359800,116582050
2022-08-11,13350,13350,13100,13150,370195,-0.3787878787878788,1022433526850,370195,4881010400,77751599,2659,0.0,4.95,0,0.0,0,20169250,14820700,13227700,-48217650
2022-08-12,13150,13400,12950,13100,429254,-0.38022813688212925,1018545946900,429254,5658629050,77751599,2659,0.0,4.93,0,0.0,0,9665200,-22555000,-339808600,352698400
2022-08-16,13200,13300,12950,13250,377338,1.1450381679389312,1030208686750,377338,4960617500,77751599,2659,0.0,4.98,0,0.0,0,-8996350,27558200,-612179100,593617250
2022-08-17,13200,13450,12950,13000,462150,-1.8867924528301887,1010770787000,462150,6059694850,77751599,2659,0.0,4.89,0,0.0,0,-8222950,25948000,856322200,-874047250
2022-08-18,13050,13100,12450,12550,477591,-3.4615384615384617,975782567450,477591,6058782050,77751599,2659,0.0,4.72,0,0.0,0,-11885450,-26383900,-26550450,64819800
2022-08-19,12500,12800,12350,12400,451234,-1.1952191235059761,964119827600,451234,5645728150,77751599,2659,0.0,4.66,0,0.0,0,-13439550,4855000,-243945300,252529850
2022-08-22,12150,12600,12050,12350,429289,-0.4032258064516129,960232247650,429289,5278481750,77751599,2659,0.0,4.64,0,0.0,0,-26679400,6392850,-243345550,263632100
2022-08-23,12000,12200,11350,11550,1046325,-6.477732793522267,898030968450,1046325,12267761200,77751599,2659,0.0,4.34,0,0.0,0,-263888700,-152581850,-137428900,553899450
2022-08-24,11500,11650,11300,11550,560426,0.0,898030968450,560426,6432212450,77751599,2659,0.0,4.34,0,0.0,0,69692550,0,-817102100,747409550
2022-08-25,11550,12000,11500,11800,1117755,2.1645021645021645,917468868200,1117755,13180030150,77751599,2659,0.0,4.44,0,0.0,0,-930150,35157750,-328420900,294193300
2022-08-26,11800,11800,10000,10850,2684243,-8.050847457627118,843604849150,2684243,28913784150,77751599,2659,0.0,4.08,0,0.0,0,-394029000,42109300,2947749400,-2595829700
2022-08-29,10450,10950,10350,10800,606396,-0.4608294930875576,839717269200,606396,6504319350,77751599,2659,0.0,4.06,0,0.0,0,-204121050,10700,-101529700,305640050
2022-08-30,10650,11100,10450,10800,763054,0.0,839717269200,763054,8224082200,77751599,2659,0.0,4.06,0,0.0,0,-2878450,-5560400,-753442550,761881400
2022-08-31,10750,11150,10600,10800,582822,0.0,839717269200,582822,6309744000,77751599,2659,0.0,4.06,0,0.0,0,5508550,0,319986650,-325495200
2022-09-01,10800,11200,10600,10650,740194,-1.3888888888888888,828054529350,740194,8051767850,77751599,2659,0.0,4.01,0,0.0,0,-3140150,15372900,-121068650,108835900
2022-09-02,10700,10800,10400,10450,411079,-1.8779342723004695,812504209550,411079,4350998150,77751599,2659,0.0,3.93,0,0.0,0,-6726950,14910000,302600600,-310783650
2022-09-05,10250,10450,10100,10150,451062,-2.8708133971291865,789178729850,451062,4618382000,77751599,2659,0.0,3.82,0,0.0,0,-118118250,-69905500,-757337450,945361200
2022-09-06,10100,10450,10100,10200,351578,0.49261083743842365,793066309800,351578,3604432000,77751599,2659,0.0,3.84,0,0.0,0,-27067250,-10545850,-337265750,374878850
2022-09-07,10250,10300,9950,9950,546117,-2.450980392156863,773628410050,546117,5459351270,77751599,2659,0.0,3.74,0,0.0,0,15158230,20468510,619364380,-654991120
2022-09-08,10050,10250,9970,10100,310987,1.507537688442211,785291149900,310987,3122214930,77751599,2659,0.0,3.8,0,0.0,0,6527580,25050000,-108037780,76460200
2022-09-13,10450,11350,10450,10800,1414921,6.9306930693069315,839717269200,1414921,15296706850,77751599,2659,0.0,4.06,0,0.0,0,416271000,10348200,-816315650,389696450
2022-09-14,10850,12950,10800,12150,7496504,12.5,944681927850,7496504,90707768300,77751599,2659,0.0,4.57,0,0.0,0,294137850,-33555700,487084250,-747666400
2022-09-15,12150,12250,11050,11150,2014318,-8.23045267489712,866930328850,2014318,23175288550,77751599,2659,0.0,4.19,0,0.0,0,-190783000,-104629500,1086482900,-791070400
2022-09-16,11000,11050,10450,10500,822305,-5.829596412556054,816391789500,822305,8771688000,77751599,2659,0.0,3.95,0,0.0,0,-275446100,14305950,-352625950,613766100
2022-09-19,10400,10500,10050,10200,494187,-2.857142857142857,793066309800,494187,5062633400,77751599,2659,0.0,3.84,0,0.0,0,-3755950,-10050,-99523550,103289550
2022-09-20,10100,10350,10100,10150,418177,-0.49019607843137253,789178729850,418177,4252907100,77751599,2659,0.0,3.82,0,0.0,0,-167612850,4161500,316693750,-153242400
2022-09-21,10050,10150,9970,10100,336981,-0.49261083743842365,785291149900,336981,3383903230,77751599,2659,0.0,3.8,0,0.0,0,-1677800,14090000,56699030,-69111230
2022-09-22,9970,10300,9770,10150,539450,0.49504950495049505,789178729850,539450,5387741010,77751599,2659,0.0,3.82,0,0.0,0,-4789210,-24680240,485064660,-455595210
2022-09-23,10000,10150,9950,10000,326539,-1.477832512315271,777515990000,326539,3266004360,77751599,2659,0.0,3.76,0,0.0,0,-7667910,-8979950,106151060,-89503200
2022-09-26,9850,9960,9530,9570,551922,-4.3,744082802430,551922,5329786740,77751599,2659,0.0,3.6,0,0.0,0,13486770,11749880,394319910,-419556560
2022-09-27,9370,9800,9110,9400,534780,-1.7763845350052248,730865030600,534780,5005513030,77751599,2659,0.0,3.54,0,0.0,0,673560,110160,-230338020,229554300
2022-09-28,9390,9980,9190,9580,755202,1.9148936170212765,744860318420,755202,7211852660,77751599,2659,0.0,3.6,0,0.0,0,2302360,391260,-247084840,244391220
2022-09-29,10200,10200,9590,9590,459511,0.10438413361169101,745637834410,459511,4530266640,77751599,2659,0.0,3.61,0,0.0,0,-397680,-10677030,-682527530,693602240
2022-09-30,9310,9550,9310,9520,319956,-0.7299270072992701,740195222480,319956,3026177140,77751599,2659,0.0,3.58,0,0.0,0,8910460,1998930,-198602430,187693040
2022-10-04,9610,9850,9600,9800,262110,2.941176470588235,761965670200,262110,2555469820,77751599,2659,0.0,3.69,0,0.0,0,6375520,-31670,-704092680,697748830
2022-10-05,9950,10100,9490,9520,294929,-2.857142857142857,740195222480,294929,2853191110,77751599,2659,0.0,3.58,0,0.0,0,8663370,1621940,555540450,-565825760
2022-10-06,9650,10150,9570,10050,540075,5.567226890756303,781403569950,540075,5381921170,77751599,2659,0.0,3.78,0,0.0,0,-4575160,30100400,-1198072770,1172547530
2022-10-07,10100,10100,9700,9850,360352,-1.9900497512437811,765853250150,360352,3544040630,77751599,2659,0.0,3.7,0,0.0,0,-3250720,-12174890,956606740,-941181130
2022-10-11,9850,10450,9710,10100,791390,2.5380710659898478,785291149900,791390,7970899190,77751599,2659,0.0,3.8,0,0.0,0,7612250,2572120,-465913450,455729080
2022-10-12,10050,10500,10000,10150,664442,0.49504950495049505,789178729850,664442,6800641950,77751599,2659,0.0,3.82,0,0.0,0,-54313250,-3211100,-495606450,553130800
2022-10-13,10200,10400,10000,10000,465040,-1.477832512315271,777515990000,465040,4713514520,77751599,2659,0.0,3.76,0,0.0,0,3839400,3015000,-224947450,218093050
2022-10-14,10150,10550,10050,10250,769236,2.5,796953889750,769236,7895503550,77751599,2659,0.0,3.85,0,0.0,0,-31345200,-2256300,-18374050,51975550
2022-10-17,10150,10150,9900,10100,398645,-1.4634146341463417,785291149900,398645,3995127700,77751599,2659,0.0,3.8,0,0.0,0,13036640,0,145040420,-158077060
2022-10-18,10200,10350,10050,10150,510175,0.49504950495049505,789178729850,510175,5210012100,77751599,2659,0.0,3.82,0,0.0,0,1429550,0,-1330223800,1328794250
2022-10-19,10250,10300,9920,9940,488115,-2.0689655172413794,772850894060,488115,4916062430,77751599,2659,0.0,3.74,0,0.0,0,613980,28979640,994416570,-1024010190
2022-10-20,9940,9960,9630,9650,508573,-2.9175050301810868,750302930350,508573,4967183490,77751599,2659,0.0,3.63,0,0.0,0,7294830,2528380,612335380,-622158590
2022-10-21,9610,9780,9480,9490,344190,-1.6580310880829014,737862674510,344190,3289786620,77751599,2659,0.0,3.57,0,0.0,0,-20844700,10430370,457237260,-446822930
2022-10-24,9550,9730,9430,9450,383808,-0.42149631190727077,734752610550,383808,3663816560,77751599,2659,0.0,3.55,0,0.0,0,25776770,0,262431930,-288208700
2022-10-25,9480,9570,9420,9430,276881,-0.21164021164021166,733197578570,276881,2625847770,77751599,2659,0.0,3.55,0,0.0,0,5100750,0,-219574010,214473260
2022-10-26,9460,9580,9210,9350,284467,-0.8483563096500532,726977450650,284467,2684336230,77751599,2659,0.0,3.52,0,0.0,0,-202560,188200,26033410,-26019050
2022-10-27,9270,9510,9270,9300,465229,-0.53475935828877,723089870700,465229,4362330140,77751599,2659,0.0,3.5,0,0.0,0,3170310,5842960,58335720,-67348990
2022-10-28,9300,9360,7620,8200,2847317,-11.827956989247312,637563111800,2847317,23679160180,77751599,2659,0.0,3.08,0,0.0,0,-1802320,14630190,1722661520,-1735489390
2022-10-31,8200,8290,7120,7390,2533665,-9.878048780487806,574584316610,2533665,18910014220,77751599,2659,0.0,2.78,0,0.0,0,1661310,7816830,1116343960,-1125822100
2022-11-01,7410,7460,7200,7450,1003281,0.8119079837618403,579249412550,1003281,7356459060,77751599,2659,0.0,2.8,0,0.0,0,-49756290,-16312800,-164244720,230313810
2022-11-02,7410,7800,7240,7500,1049392,0.6711409395973155,583136992500,1049392,7905350240,77751599,2659,0.0,2.82,0,0.0,0,-3453780,-11809470,-197627380,212890630
2022-11-03,7300,7400,7260,7300,500953,-2.666666666666667,567586672700,500953,3668970490,77751599,2659,0.0,2.75,0,0.0,0,-1394020,-3133360,276126950,-271599570
2022-11-04,7220,7280,7080,7210,636372,-1.2328767123287672,560589028790,636372,4562144880,77751599,2659,0.0,2.71,0,0.0,0,15457210,786540,-204110070,187866320
2022-11-07,7240,7390,7180,7350,534143,1.9417475728155338,571474252650,534143,3897153480,77751599,2659,0.0,2.76,0,0.0,0,-4258710,-219900,-1037539440,1042018050
2022-11-08,7430,7580,7320,7420,607525,0.9523809523809524,576916864580,607525,4527196040,77751599,2659,0.0,2.79,0,0.0,0,-62323600,8916000,5097120,48310480
2022-11-09,7430,7600,7240,7300,804930,-1.6172506738544474,567586672700,804930,5945512640,77751599,2659,0.0,2.75,0,0.0,0,-14359530,16391790,802054780,-804087040
2022-11-10,7210,7420,7130,7240,520641,-0.821917808219178,562921576760,520641,3769903360,77751599,2659,0.0,2.72,0,0.0,0,-2521430,0,-386594610,389116040
2022-11-11,7390,7430,7300,7410,682218,2.3480662983425415,576139348590,682218,5029710380,77751599,2659,0.0,2.79,0,0.0,0,2875210,-15655500,-1498111340,1510891630
2022-11-14,7440,8410,7370,7990,3496162,7.827260458839406,621235276010,3496162,28075037720,77751599,2659,0.0,3.0,0,0.0,0,334284290,-9552040,985421360,-1310153610
2022-11-15,8000,8300,7900,8260,1295721,3.379224030037547,642228207740,1295721,10515397140,77751599,2659,0.0,3.11,0,0.0,0,-103179420,-37368590,-645097950,785645960
2022-11-16,8430,8430,8010,8030,765584,-2.784503631961259,624345339970,765584,6221019170,77751599,2659,0.0,3.02,0,0.0,0,10388050,111806100,722961570,-845155720
2022-11-17,8030,8210,7880,8040,566849,0.12453300124533001,625122855960,566849,4559514280,77751599,2659,0.0,3.02,0,0.0,0,9475950,25680000,-64589780,29433830
2022-11-18,7960,8070,7760,7780,497280,-3.233830845771144,604907440220,497280,3925630250,77751599,2659,0.0,2.93,0,0.0,0,-2471530,55489830,543267130,-596285430
2022-11-21,7760,7860,7530,7530,378751,-3.2133676092544987,585469540470,378751,2885088560,77751599,2659,0.0,2.83,0,0.0,0,150600,11513190,-122271430,110607640
2022-11-22,7500,7590,7350,7360,390882,-2.257636122177955,572251768640,390882,2909468590,77751599,2659,0.0,2.77,0,0.0,0,-15934300,0,179578950,-163644650
2022-11-23,7400,7450,7300,7350,332810,-0.1358695652173913,571474252650,332810,2452783160,77751599,2659,0.0,2.76,0,0.0,0,7662880,-5868420,77933780,-79728240
2022-11-24,7380,7410,7350,7410,238706,0.8163265306122449,576139348590,238706,1761155620,77751599,2659,0.0,2.79,0,0.0,0,13127960,22080,-272705640,259555600
2022-11-25,7440,7440,7310,7320,255830,-1.214574898785425,569141704680,255830,1877675830,77751599,2659,0.0,2.75,0,0.0,0,12672210,43940,118911030,-131627180
2022-11-28,7330,7340,6480,6630,1798197,-9.426229508196721,515493101370,1798197,12127406920,77751599,2659,0.0,2.49,0,0.0,0,-202967860,173210,955836730,-753042080
2022-11-29,6620,7110,6500,7090,1041138,6.93815987933635,551258836910,1041138,7208834560,77751599,2659,0.0,2.67,0,0.0,0,554090830,24910640,-1811344690,1232343220
2022-11-30,7060,7110,6810,6970,360886,-1.692524682651622,541928645030,360886,2528894790,77751599,2659,0.0,2.62,0,0.0,0,21141380,-23255450,150069230,-147955160
2022-12-01,7070,7180,6990,7010,410032,0.5738880918220948,545038708990,410032,2908514120,77751599,2659,0.0,2.64,0,0.0,0,-214129580,1411040,-36424780,249143320
2022-12-02,7070,7170,6900,6940,311771,-0.9985734664764622,539596097060,311771,2179087440,77751599,2659,0.0,2.61,0,0.0,0,-203384490,3460000,371598390,-171673900
2022-12-05,6940,7670,6940,7200,1944234,3.7463976945244957,559811512800,1944234,14214549760,77751599,2659,0.0,2.71,0,0.0,0,25957310,27905780,164011820,-217874910
2022-12-06,7150,7150,6950,6970,392676,-3.194444444444444,541928645030,392676,2760677350,77751599,2659,0.0,2.62,0,0.0,0,-3448350,-22943390,322732730,-296340990
2022-12-07,6970,7070,6700,6950,424046,-0.2869440459110474,540373613050,424046,2913416760,77751599,2659,0.0,2.61,0,0.0,0,-9025940,-32149080,-239576910,280751930
2022-12-08,6950,7050,6860,6900,245235,-0.7194244604316548,536486033100,245235,1697920330,77751599,2659,0.0,2.59,0,0.0,0,-1858270,13840,-77645780,79490210
