날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-30,36300,36650,36100,36200,128129,-0.13793103448275862,2538836718200,128129,4660845200,70133611,15657,35.11,2.31,1031,2.21,800,-497641700,22441300,31091700,444108700
2022-05-31,36250,36400,35500,35650,307872,-1.5193370165745856,2500263232150,307872,10987003650,70133611,15657,34.58,2.28,1031,2.24,800,-4003556900,42127800,3153892000,807537100
2022-06-02,35800,36350,35550,36350,230287,1.9635343618513323,2549356759850,230287,8312730550,70133611,15657,35.26,2.32,1031,2.2,800,-1299965850,-24440050,-3308285400,4632691300
2022-06-03,36000,36050,35400,35600,344385,-2.063273727647868,2496756551600,344385,12247703900,70133611,15657,34.53,2.27,1031,2.25,800,-1750976400,-12690800,5563686700,-3800019500
2022-06-07,35400,35400,34300,34700,520547,-2.528089887640449,2433636301700,520547,18026865450,70133611,15657,33.66,2.22,1031,2.31,800,-4216395900,-649748500,5796133800,-929989400
2022-06-08,34700,35450,34150,35400,599935,2.0172910662824206,2482729829400,599935,20919751100,70133611,15657,34.34,2.26,1031,2.26,800,-4370841850,-277980700,-4551391800,9200214350
2022-06-09,35300,35300,34500,34850,309635,-1.5536723163841808,2444156343350,309635,10740491850,70133611,15657,33.8,2.23,1031,2.3,800,-2663397800,-29067850,2660732950,31732700
2022-06-10,34650,34950,34150,34850,291275,0.0,2444156343350,291275,10086219750,70133611,15657,33.8,2.23,1031,2.3,800,-2399512600,32777650,731766450,1634968500
2022-06-13,34300,34400,33400,33600,351148,-3.5868005738880915,2356489329600,351148,11823978250,70133611,15657,32.59,2.15,1031,2.38,800,-1417140700,-775476800,903203000,1289414500
2022-06-14,33100,33750,32500,33600,297640,0.0,2356489329600,297640,9838244400,70133611,15657,32.59,2.15,1031,2.38,800,-531539500,117997200,-230684400,644226700
2022-06-15,34150,35100,33950,34450,549701,2.5297619047619047,2416102898950,549701,18905742100,70133611,15657,33.41,2.2,1031,2.32,800,-1956142500,-423051650,-4414405450,6793599600
2022-06-16,34600,34650,34000,34200,230055,-0.7256894049346879,2398569496200,230055,7885514550,70133611,15657,33.17,2.18,1031,2.34,800,-636226650,48036250,1523584600,-935394200
2022-06-17,33500,33800,32100,32350,688359,-5.409356725146199,2268822315850,688359,22353482600,70133611,15657,31.38,2.07,1031,2.47,800,-3666932200,-302737500,8072527700,-4102858000
2022-06-20,32400,32850,31850,32050,295353,-0.9273570324574961,2247782232550,295353,9498554250,70133611,15657,31.09,2.05,1031,2.5,800,1178237200,25226900,-3385257250,2181793150
2022-06-21,32000,32350,31300,32100,257204,0.15600624024961,2251288913100,257204,8229626100,70133611,15657,31.13,2.05,1031,2.49,800,180043450,75907600,-693436150,437485100
2022-06-22,32250,32300,31150,31400,321612,-2.1806853582554515,2202195385400,321612,10111501250,70133611,15657,30.46,2.01,1031,2.55,800,-2763296550,-460212050,-605796700,3829305300
2022-06-23,31050,31600,30300,30450,393678,-3.0254777070063694,2135568454950,393678,12108015650,70133611,15657,29.53,1.94,1031,2.63,800,-281418700,-75212750,-1213647600,1570279050
2022-06-24,30450,31850,30450,31600,354563,3.776683087027915,2216222107600,354563,11104961150,70133611,15657,30.65,2.02,1031,2.53,800,-49697500,-15411250,-2128415300,2193524050
2022-06-27,31800,31950,31300,31700,190622,0.31645569620253167,2223235468700,190622,6036724900,70133611,15657,30.75,2.02,1031,2.52,800,-1543777250,10635750,1613951250,-80809750
2022-06-28,31700,32150,31450,32000,282362,0.9463722397476341,2244275552000,282362,8971137900,70133611,15657,31.04,2.04,1031,2.5,800,332824250,-515418250,-1290968600,1473562600
