날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-30,53783,55312,53682,54803,304271,2.868137024870953,2723894000000,309950,16641128300,50630000,57134,10.78,0.94,4989,1.3,700,465461300.0,1921500.0,-2664515100.0,2197132300.0
2022-05-31,54802,54905,54293,54905,228694,0.186121197744649,2728957000000,232963,12499328400,50630000,57134,10.8,0.94,4989,1.3,700,-3000406200.0,238479700.0,3044762900.0,-282836400.0
2022-06-02,55209,57247,54904,56942,671446,3.710044622529824,2830217000000,683977,37984262200,50630000,57134,11.2,0.98,4989,1.25,700,5504942600.0,-306002400.0,-10536475400.0,5337535200.0
2022-06-03,57146,57348,55923,57146,314682,0.35825928137402974,2840343000000,320556,17823181700,50630000,57134,11.24,0.98,4989,1.25,700,2022509900.0,154334100.0,-1590284700.0,-586559300.0
2022-06-07,57349,58877,57247,58063,669519,1.6046617436041017,2885910000000,682014,38973783900,50630000,57134,11.43,1.0,4989,1.23,700,2912365300.0,188719300.0,-7816226900.0,4715142300.0
2022-06-08,58776,58776,56636,58267,391393,0.3513425072765789,2896036000000,398697,22703974600,50630000,57134,11.47,1.0,4989,1.22,700,1491728100.0,62869000.0,-3173018900.0,1618421800.0
2022-06-09,58062,60506,57552,60304,867765,3.495975423481559,2997296000000,883960,51798465500,50630000,57134,11.87,1.04,4989,1.18,700,8780238800.0,50062600.0,-13388499900.0,4558198500.0
2022-06-10,59894,61932,59589,60201,845196,-0.17080127354736005,2992233000000,860969,51258170200,50630000,57134,11.85,1.03,4989,1.18,700,2598189000.0,-622157300.0,-5388508700.0,3412477000.0
2022-06-13,59386,60609,58673,58776,672837,-2.367070314446604,2921351000000,685394,40034833500,50630000,57134,11.57,1.01,4989,1.21,700,1452753300.0,-839890700.0,-2021476400.0,1408613800.0
2022-06-14,57961,58470,56330,57961,598129,-1.386620389274534,2880847000000,609292,34229587400,50630000,57134,11.41,1.0,4989,1.23,700,-3092814500.0,-148461400.0,-2640108100.0,5881384000.0
2022-06-15,58469,58774,54089,54497,837309,-5.976432428702058,2708705000000,852936,46109101400,50630000,57134,10.72,0.94,4989,1.31,700,-2052513500.0,39099800.0,7771127700.0,-5757714000.0
2022-06-16,53376,54801,52356,53376,806427,-2.056993962970439,2653012000000,821477,43260860300,50630000,57134,10.5,0.92,4989,1.34,700,4001637700.0,-38281400.0,-6964926100.0,3001569800.0
2022-06-17,51950,52968,51542,52154,541921,-2.2894184652278176,2592256000000,552035,28306168900,50630000,57134,10.26,0.9,4989,1.37,700,-242340100.0,10800.0,1416572300.0,-1174243000.0
2022-06-20,54089,54190,51135,52256,637923,0.1955746443225831,2597319000000,649828,33600050100,50630000,57134,10.28,0.9,4989,1.36,700,162763700.0,-570849800.0,11760630900.0,-11352544800.0
2022-06-21,52561,53070,50270,52664,893869,0.7807715860379669,2617571000000,910551,46712458300,50630000,57134,10.36,0.9,4989,1.35,700,-444040000.0,622350.0,10817457850.0,-10374040200.0
2022-06-22,53172,53273,47672,47672,1198161,-9.47896096004861,2369484000000,1220522,59929597650,50630000,57134,9.38,0.82,4989,1.5,700,1739211550.0,-56240600.0,8002819400.0,-9685790350.0
2022-06-23,47468,48537,45634,45737,769688,-4.058986407115288,2273287000000,784053,36015968600,50630000,57134,9.0,0.79,4989,1.56,700,4485230650.0,20950600.0,-5263137000.0,756955750.0
2022-06-24,45634,48486,45634,47825,605153,4.565231650523646,2377078500000,616447,28652522150,50630000,57134,9.41,0.82,4989,1.49,700,4449253600.0,123975250.0,-3319731600.0,-1253497250.0
2022-06-27,48435,49250,47824,48691,330762,1.810768426555149,2420114000000,336936,16095770750,50630000,57134,9.58,0.84,4989,1.46,700,1799198550.0,6028150.0,1117797900.0,-2923024600.0
2022-06-28,48690,50472,48690,50270,385444,3.2428990983960078,2498590500000,392637,19202852600,50630000,57134,9.89,0.86,4989,1.42,700,2197149400.0,3108800.0,-240711650.0,-1959546550.0
2022-06-29,49555,51949,49147,50422,433876,0.30236721702804853,2506185000000,441974,21944761050,50630000,57134,9.92,0.87,4989,1.41,700,4191265200.0,-16909500.0,-167206850.0,-4007148850.0
2022-06-30,50473,51237,49608,49608,275851,-1.614374677720043,2465681000000,281000,13865489100,50630000,57134,9.76,0.85,4989,1.44,700,935452400.0,11970550.0,-60594950.0,-886828000.0
2022-07-01,50472,52561,50371,51339,545254,3.4893565553942913,2551752000000,555430,28053785200,50630000,57134,10.1,0.88,4989,1.39,700,4918176450.0,173357200.0,-5916473150.0,824939500.0
2022-07-04,51542,51644,47009,47825,539703,-6.844698961802918,2377078500000,549775,26139817550,50630000,57134,9.41,0.82,4989,1.49,700,-2268658150.0,-88705600.0,5445071950.0,-3087708200.0
2022-07-05,47824,47824,44616,46858,757305,-2.0219550444328283,2328980000000,771438,34923124550,50630000,57134,9.22,0.81,4989,1.52,700,-8098360050.0,336379500.0,7659709600.0,102270950.0
2022-07-06,46296,47366,44819,44871,542892,-4.240471210892484,2230251500000,553024,24790395200,50630000,57134,8.83,0.77,4989,1.59,700,-8304580100.0,-5045650.0,6379193550.0,1930432200.0
2022-07-07,45175,45583,44055,45431,318878,1.2480221078201956,2258098000000,324830,14357190100,50630000,57134,8.94,0.78,4989,1.57,700,-1485900900.0,89702500.0,-414744300.0,1810942700.0
2022-07-08,46092,46245,45073,45431,313056,0.0,2258098000000,318899,14253025900,50630000,57134,8.94,0.78,4989,1.57,700,-2243365400.0,2341200.0,4524774950.0,-2283750750.0
2022-07-11,45583,45634,44615,44922,254445,-1.1203803570249389,2232783000000,259194,11454559050,50630000,57134,8.84,0.77,4989,1.59,700,-2130436500.0,816400.0,3391594650.0,-1261974550.0
2022-07-12,44666,44768,42832,43139,356871,-3.9691019990205243,2144180500000,363531,15504305750,50630000,57134,8.49,0.74,4989,1.65,700,-1466321050.0,773500.0,1883900300.0,-418352750.0
