날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,87500,88900,87000,87700,89766,0.34324942791762014,6868072025000,89766,7872688200,78313250,5672,105.92,15.46,828,0.0,0,685321400,-9611400,54704600,-730414600
2022-05-27,87800,89200,87000,87700,95553,0.0,6868072025000,95553,8408158800,78313250,5672,105.92,15.46,828,0.0,0,1581538400,24806300,452752500,-2059097200
2022-05-30,88500,88500,87600,87900,65884,0.22805017103762829,6883734675000,65884,5795476300,78313250,5672,106.16,15.5,828,0.0,0,567819400,-58277000,-40601300,-468941100
2022-05-31,87800,88300,86600,86700,384169,-1.3651877133105803,6789758775000,384169,33331968800,78313250,5672,104.71,15.29,828,0.0,0,-1346737900,24271200,3250716600,-1928249900
2022-06-02,86300,86600,83600,84100,224395,-2.9988465974625145,6586144325000,224395,19001794100,78313250,5672,101.57,14.83,828,0.0,0,-437708200,-5030200,8275450300,-7832711900
2022-06-03,85000,85600,84500,85000,88049,1.070154577883472,6656626250000,88049,7489617900,78313250,5672,102.66,14.99,828,0.0,0,2683120400,-502617600,-1670108100,-510394700
2022-06-07,84800,84900,83200,83900,111943,-1.2941176470588236,6570481675000,111943,9384306800,78313250,5672,101.33,14.79,828,0.0,0,-592558700,-3171500,2444408700,-1848678500
2022-06-08,83400,84400,82500,82500,87610,-1.66865315852205,6460843125000,87610,7281182200,78313250,5672,99.64,14.55,828,0.0,0,-236249200,-14394200,2191328400,-1940685000
2022-06-09,82500,82500,81400,82400,107945,-0.12121212121212122,6453011800000,107945,8848672200,78313250,5672,99.52,14.53,828,0.0,0,398317400,-7845700,955484300,-1345956000
2022-06-10,82100,82600,80500,81000,103312,-1.6990291262135921,6343373250000,103312,8401826400,78313250,5672,97.83,14.28,828,0.0,0,-659075200,30735100,2037062800,-1408722700
2022-06-13,79700,80000,76300,76400,159796,-5.679012345679013,5983132300000,159796,12382731600,78313250,5672,92.27,13.47,828,0.0,0,-1256773300,34092900,3285853100,-2063172700
2022-06-14,73700,76300,73700,74500,150870,-2.486910994764398,5834337125000,150870,11236415000,78313250,5672,89.98,13.13,828,0.0,0,521390600,27768700,770799100,-1319958400
2022-06-15,73600,74700,70900,71100,212995,-4.563758389261745,5568072075000,212995,15319898100,78313250,5672,85.87,12.54,828,0.0,0,523456200,-394069000,3102091200,-3231478400
2022-06-16,72200,72900,70200,70600,122069,-0.7032348804500703,5528915450000,122069,8728721900,78313250,5672,85.27,12.45,828,0.0,0,1149627100,28184000,283677100,-1461488200
2022-06-17,67200,70900,67200,69600,206494,-1.41643059490085,5450602200000,206494,14283663000,78313250,5672,84.06,12.27,828,0.0,0,1716784600,15102100,-756055800,-975830900
2022-06-20,69800,70600,66300,67400,154629,-3.1609195402298855,5278313050000,154629,10443742000,78313250,5672,81.4,11.88,828,0.0,0,836539400,51872700,38546900,-926959000
2022-06-21,67400,70800,67300,70500,117753,4.599406528189911,5521084125000,117753,8164840400,78313250,5672,85.14,12.43,828,0.0,0,1854804600,99890400,-2680560700,725865700
