날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계,공매도잔고,상장주식수_short,공매도금액,시가총액_short,비중
2024-05-24,199800,202500,197500,198600,3793872,-0.7000000000000001,144581269689000,3793872,757806938160,728002365,77752,0.0,2.55,0,0.6,1200,-187289979900,-4492300100,36363413700,155418866300,1421069.0,728002365.0,282224303400.0,144581269689000.0,0.2
2024-05-27,203500,209000,199100,201500,4774882,1.460221550855992,146692476547500,4774882,978796178200,728002365,77752,0.0,2.59,0,0.6,1200,-179440393300,-23213484700,-177617379000,380271257000,1464624.0,728002365.0,295121736000.0,146692476547500.0,0.2
2024-05-28,202500,205500,200500,202500,2084945,0.49627791563275436,147420478912500,2084945,421758880180,728002365,77752,0.0,2.6,0,0.59,1200,-60786836500,6627766000,34909486000,19249584500,1478355.0,728002365.0,299366887500.0,147420478912500.0,0.2
2024-05-29,210000,210000,200500,202500,3073139,0.0,147420478912500,3073139,625798561849,728002365,77752,0.0,2.6,0,0.59,1200,-68819521000,6799702500,52327582000,9692236500,1517287.0,728002365.0,307250617500.0,147420478912500.0,0.21
2024-05-30,202500,202500,195700,195700,2402236,-3.3580246913580245,142470062830500,2402236,475957922800,728002365,77752,0.0,2.52,0,0.61,1200,-66123096500,3021564000,70268954000,-7167421500,1631494.0,728002365.0,319283375800.0,142470062830500.0,0.22
2024-05-31,194400,195200,188200,189200,5958829,-3.321410321921308,137738047458000,5958829,1131954708965,728002365,77752,0.0,2.43,0,0.63,1200,104479710300,-333919300,92491647000,-196637438000,1602959.0,728002365.0,303279842800.0,137738047458000.0,0.22
2024-06-03,189500,194600,188200,194200,2982443,2.6427061310782243,141378059283000,2982443,571760605900,728002365,77752,0.0,2.5,0,0.62,1200,-31508523600,-2731044300,-56302995300,90542563200,1615942.0,728002365.0,313815936400.0,141378059283000.0,0.22
2024-06-04,196400,196500,192900,193300,1996780,-0.46343975283213185,140722857154500,1996780,387926318936,728002365,77752,0.0,2.49,0,0.62,1200,-35775993000,179856600,12138017500,23458118900,1650738.0,728002365.0,319087655400.0,140722857154500.0,0.23
2024-06-05,189400,195200,188800,193700,2709631,0.20693222969477496,141014058100500,2709631,519753179900,728002365,77752,0.0,2.49,0,0.62,1200,11365956500,979177200,-21278552900,8933419200,1609015.0,728002365.0,311666205500.0,141014058100500.0,0.22
2024-06-07,199500,207500,197300,207500,4805326,7.1244192049561175,151060490737500,4805326,976785683968,728002365,77752,0.0,2.67,0,0.58,1200,-18025436000,503731200,-343708444600,361230149400,1416055.0,728002365.0,293831412500.0,151060490737500.0,0.19
2024-06-10,206000,209500,205000,208000,2448961,0.24096385542168677,151424491920000,2448961,508789448000,728002365,77752,0.0,2.68,0,0.58,1200,-84634180500,1683766000,-12784749000,95735163500,1319341.0,728002365.0,274422928000.0,151424491920000.0,0.18
2024-06-11,210000,215000,206000,212500,3070163,2.1634615384615383,154700502562500,3070163,647746581000,728002365,77752,0.0,2.73,0,0.56,1200,-47068824000,-106095500,-63038189000,110213108500,1282642.0,728002365.0,272561425000.0,154700502562500.0,0.18
2024-06-12,212000,216000,211000,215000,2151331,1.1764705882352942,156520508475000,2151331,459699813376,728002365,77752,0.0,2.77,0,0.56,1200,-57223873500,-2772774500,-63668314500,123664962500,1120653.0,728002365.0,240940395000.0,156520508475000.0,0.15
2024-06-13,226000,226500,219000,222000,5777279,3.255813953488372,161616525030000,5777279,1292420493649,728002365,77752,0.0,2.86,0,0.54,1200,-190714645000,-4534367000,-161113720500,356362732500,877283.0,728002365.0,194756826000.0,161616525030000.0,0.12
2024-06-14,225000,225000,216000,221000,3311223,-0.45045045045045046,160888522665000,3311223,730644813343,728002365,77752,0.0,2.84,0,0.54,1200,-156819999000,-3654281000,15056220500,145418059500,815454.0,728002365.0,180215334000.0,160888522665000.0,0.11
2024-06-17,219000,229500,219000,223000,2198340,0.904977375565611,162344527395000,2198340,493039410000,728002365,77752,0.0,2.87,0,0.54,1200,-12247549000,2635193000,-12581533500,22193889500,1022590.0,728002365.0,228037570000.0,162344527395000.0,0.14
2024-06-18,227000,234500,227000,234500,3136231,5.15695067264574,170716554592500,3136231,725327503114,728002365,77752,0.0,3.02,0,0.51,1200,-63273561000,15777000,-86007685500,149265469500,1046905.0,728002365.0,245499222500.0,170716554592500.0,0.14
2024-06-19,235000,243000,231500,233500,3758652,-0.42643923240938164,169988552227500,3758652,889433317870,728002365,77752,0.0,3.0,0,0.51,1200,-3178418500,2845197500,120202908000,-119869687000,1185530.0,728002365.0,276821255000.0,169988552227500.0,0.16
2024-06-20,233500,238500,231000,237500,2927358,1.7130620985010707,172900561687500,2927358,690353793367,728002365,77752,0.0,3.05,0,0.51,1200,-7887769000,-1302855500,45395477000,-36204852500,1141402.0,728002365.0,271082975000.0,172900561687500.0,0.16
2024-06-21,230500,234500,230000,234000,3848394,-1.4736842105263157,170352553410000,3848394,893734483178,728002365,77752,0.0,3.01,0,0.51,1200,-44817076000,-4790348000,50262306000,-654882000,1156043.0,728002365.0,270514062000.0,170352553410000.0,0.16
2024-06-24,228000,230000,220000,223000,5080726,-4.700854700854701,162344527395000,5080726,1136220620500,728002365,77752,0.0,2.87,0,0.54,1200,78746401000,-304123000,227741464000,-306183742000,1174095.0,728002365.0,261823185000.0,162344527395000.0,0.16
2024-06-25,215500,225000,215000,225000,5730999,0.8968609865470852,163800532125000,5730999,1265955855500,728002365,77752,0.0,2.89,0,0.53,1200,139604775500,2240309500,-22986520500,-118858564500,1156432.0,728002365.0,260197200000.0,163800532125000.0,0.16
2024-06-26,228000,238500,227500,237000,5166862,5.333333333333334,172536560505000,5166862,1207855980000,728002365,77752,0.0,3.05,0,0.51,1200,-116402396000,3592034500,-110899518500,223709880000,1151239.0,728002365.0,272843643000.0,172536560505000.0,0.16
2024-06-27,229500,239000,227500,236500,3763005,-0.21097046413502107,172172559322500,3763005,878989672000,728002365,77752,0.0,3.04,0,0.51,1200,-99500331500,3377237000,41066939000,55056155500,1216162.0,728002365.0,287622313000.0,172172559322500.0,0.17
2024-06-28,235500,237500,232500,236500,2368287,0.0,172172559322500,2368287,557342030500,728002365,77752,0.0,3.04,0,0.51,1200,27899232500,1221493000,9620513500,-38741239000,1215076.0,728002365.0,287365474000.0,172172559322500.0,0.17
2024-07-01,233500,236500,232000,235500,1709955,-0.42283298097251587,171444556957500,1709955,400886751500,728002365,77752,0.0,3.03,0,0.51,1200,-2764391500,79288000,11158277000,-8473173500,1197241.0,728002365.0,281950255500.0,171444556957500.0,0.16
2024-07-02,235500,237000,230500,232000,2343947,-1.48619957537155,168896548680000,2343947,547269198077,728002365,77752,0.0,2.98,0,0.52,1200,-65499823000,-1043808500,16229267000,50314364500,1218667.0,728002365.0,282730744000.0,168896548680000.0,0.17
2024-07-03,231000,236000,225000,236000,3315677,1.7241379310344827,171808558140000,3315677,765077936994,728002365,77752,0.0,3.04,0,0.51,1200,14215908000,-1021876500,-43885182500,30691151000,1219113.0,728002365.0,287710668000.0,171808558140000.0,0.17
2024-07-04,240500,240500,225000,230000,7599882,-2.5423728813559325,167440543950000,7599882,1754420280262,728002365,77752,0.0,2.96,0,0.52,1200,54490139000,34007940500,132588029500,-221086109000,1285939.0,728002365.0,295765970000.0,167440543950000.0,0.18
2024-07-05,228500,237500,227500,236000,4041293,2.608695652173913,171808558140000,4041293,942906556000,728002365,77752,0.0,3.04,0,0.51,1200,153363960500,3194175000,-124668018500,-31890117000,1194708.0,728002365.0,281951088000.0,171808558140000.0,0.16
2024-07-08,234000,237000,232500,233500,2309023,-1.059322033898305,169988552227500,2309023,540444769469,728002365,77752,0.0,3.0,0,0.51,1200,-69113236500,-1096635500,67449097500,2760774500,1218650.0,728002365.0,284554775000.0,169988552227500.0,0.17
2024-07-09,235500,241000,233000,238500,4810781,2.141327623126338,173628564052500,4810781,1143174601859,728002365,77752,0.0,3.07,0,0.5,1200,36279333500,-1647145000,-79157515000,44525326500,1138242.0,728002365.0,271470717000.0,173628564052500.0,0.16
2024-07-10,237500,239000,234000,239000,2579373,0.20964360587002098,173992565235000,2579373,611201512750,728002365,77752,0.0,3.07,0,0.5,1200,-36746235500,-865871000,7827284000,29784822500,1130632.0,728002365.0,270221048000.0,173992565235000.0,0.16
2024-07-11,242500,248500,241000,241000,5336097,0.8368200836820083,175448569965000,5336097,1303368111500,728002365,77752,0.0,3.1,0,0.5,1200,9166505000,-38259500500,15445790500,13647205000,1235660.0,728002365.0,297794060000.0,175448569965000.0,0.17
