날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,66300,67200,65500,65900,15970890,-0.7530120481927711,393408670045000,15970890,1057298883100,5969782550,43611,11.41,1.51,5777,2.19,1444,-130324508700,3140955300,208567670700,-81384117300
2022-05-27,66700,66900,66200,66500,11405555,0.9104704097116844,396990539575000,11405555,759034579700,5969782550,43611,11.51,1.52,5777,2.17,1444,151176871900,-1094897700,-49251179800,-100830794400
2022-05-30,67500,67800,66900,67700,14255484,1.8045112781954888,404154278635000,14255484,960592764000,5969782550,43611,11.72,1.55,5777,2.13,1444,82410643100,228470400,-188160047400,105520933900
2022-05-31,67500,67500,66700,67400,24365002,-0.4431314623338257,402363343870000,24365002,1637773742750,5969782550,43611,11.67,1.55,5777,2.14,1444,-235626328200,4186219500,134633269700,96806839000
2022-06-02,66600,67000,66400,66700,14959443,-1.0385756676557862,398184496085000,14959443,996681075588,5969782550,43611,11.55,1.53,5777,2.16,1444,-214023092200,9404746600,240927784700,-36309439100
2022-06-03,67200,67300,66800,66800,8222883,0.14992503748125938,398781474340000,8222883,550654655700,5969782550,43611,11.56,1.53,5777,2.16,1444,57253486400,-471150100,-23834896300,-32947440000
2022-06-07,66200,66400,65400,65500,19355755,-1.9461077844311379,391020757025000,19355755,1273444989300,5969782550,43611,11.34,1.5,5777,2.2,1444,-252340114300,5223707200,517821635900,-270705228800
2022-06-08,65400,65700,65300,65300,12483180,-0.3053435114503817,389826800515000,12483180,817379109300,5969782550,43611,11.3,1.5,5777,2.21,1444,-25846611100,1723680800,224993949400,-200871019100
2022-06-09,65100,65200,64500,65200,25790725,-0.1531393568147014,389229822260000,25790725,1673763680952,5969782550,43611,11.29,1.5,5777,2.21,1444,29499668900,6326196900,379298569400,-415124435200
2022-06-10,64000,64400,63800,63800,22193552,-2.147239263803681,380872126690000,22193552,1419245099700,5969782550,43611,11.04,1.46,5777,2.26,1444,-72595459500,-1976303200,666950710000,-592378947300
2022-06-13,62400,62800,62100,62100,22157816,-2.664576802507837,370723496355000,22157816,1380636801900,5969782550,43611,10.75,1.42,5777,2.33,1444,-31940183400,4958031700,200830267400,-173848115700
2022-06-14,61200,62200,61100,61900,24606419,-0.322061191626409,369529539845000,24606419,1519195265000,5969782550,43611,10.71,1.42,5777,2.33,1444,23493904800,9848025700,36875147600,-70217078100
