날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,43300,44250,42850,43200,366224,0.5820721769499418,2256162940800,366224,15993094950,52225994,20971,4.17,2.06,10359,2.31,1000,2986619200,-353359100,-3382036850,748776750
2022-05-27,44000,44500,43300,43450,322973,0.5787037037037037,2269219439300,322973,14179512600,52225994,20971,4.19,2.07,10359,2.3,1000,3960815700,29510900,-3537737600,-452589000
2022-05-30,43800,44200,43250,44100,250290,1.4959723820483315,2303166335400,250290,10996651750,52225994,20971,4.26,2.1,10359,2.27,1000,3032873150,-25719800,-5055029900,2047876550
2022-05-31,44350,44600,43000,44450,827313,0.7936507936507936,2321445433300,827313,36661298450,52225994,20971,4.29,2.12,10359,2.25,1000,410821650,21730950,-2701526100,2268973500
2022-06-02,44250,44700,43700,43900,224215,-1.2373453318335208,2292721136600,224215,9891549050,52225994,20971,4.24,2.09,10359,2.28,1000,478557650,17350200,-41283150,-454624700
2022-06-03,43900,44350,43050,43300,245273,-1.366742596810934,2261385540200,245273,10651070700,52225994,20971,4.18,2.06,10359,2.31,1000,-103640900,49195050,631028800,-576582950
2022-06-07,42800,42800,41500,42500,214904,-1.8475750577367205,2219604745000,214904,9067425150,52225994,20971,4.1,2.03,10359,2.35,1000,-1282341900,-37604350,-599334900,1919281150
2022-06-08,42500,43500,42400,43000,200616,1.1764705882352942,2245717742000,200616,8626826150,52225994,20971,4.15,2.05,10359,2.33,1000,903319000,4220900,-1692507400,784967500
2022-06-09,42800,43400,41800,43400,319012,0.9302325581395349,2266608139600,319012,13672589950,52225994,20971,4.19,2.07,10359,2.3,1000,3446643550,-660600,-850956750,-2595026200
2022-06-10,43300,43550,42250,42500,169951,-2.0737327188940093,2219604745000,169951,7306245150,52225994,20971,4.1,2.03,10359,2.35,1000,367493750,-438150,-205056500,-161999100
2022-06-13,41000,41800,39700,39900,272683,-6.11764705882353,2083817160600,272683,11035618100,52225994,20971,3.85,1.9,10359,2.51,1000,-245932850,46378150,-132546600,332101300
2022-06-14,38500,39400,38450,38700,373237,-3.007518796992481,2021145967800,373237,14529387150,52225994,20971,3.74,1.85,10359,2.58,1000,1681848750,-267505050,-659276000,-755067700
2022-06-15,38400,39350,38000,38100,302286,-1.550387596899225,1989810371400,302286,11644217300,52225994,20971,3.68,1.82,10359,2.62,1000,-497736300,-157100,-802139400,1300032800
2022-06-16,38450,39600,37950,38000,247942,-0.26246719160104987,1984587772000,247942,9586287850,52225994,20971,3.67,1.81,10359,2.63,1000,-567738750,-136322550,-713666450,1417727750
2022-06-17,37000,37850,36800,37200,348433,-2.1052631578947367,1942806976800,348433,12993616050,52225994,20971,3.59,1.77,10359,2.69,1000,-204899100,16496600,1085501350,-897098850
