날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,55100,56200,54200,54400,140437,-1.2704174228675136,1011975401600,140437,7759578000,18602489,20632,149.45,2.64,364,0.46,250,-343706000,-195818300,1637155700,-1097631400
2022-05-27,55600,56600,55200,55500,124258,2.0220588235294117,1032438139500,124258,6935504300,18602489,20632,152.47,2.69,364,0.45,250,170844000,38617400,-747292400,537831000
2022-05-30,56700,57800,56100,56400,182439,1.6216216216216217,1049180379600,182439,10354933700,18602489,20632,154.95,2.73,364,0.44,250,544195400,13245300,1681811800,-2239252500
2022-05-31,56300,57300,55700,56600,139690,0.3546099290780142,1052900877400,139690,7897542800,18602489,20632,155.49,2.74,364,0.44,250,487483000,-21038600,197129300,-663573700
2022-06-02,56200,56300,55100,55700,96344,-1.5901060070671376,1036158637300,96344,5349450600,18602489,20632,153.02,2.7,364,0.45,250,-330331700,336100,1553690700,-1223695100
2022-06-03,56000,57000,55400,56000,126961,0.5385996409335727,1041739384000,126961,7138040500,18602489,20632,153.85,2.71,364,0.45,250,283452400,1924400,-916537100,631160300
2022-06-07,56000,56500,54700,54700,111381,-2.3214285714285716,1017556148300,111381,6179289600,18602489,20632,150.27,2.65,364,0.46,250,-625971800,-4639300,546970200,83640900
2022-06-08,55200,58000,54700,57000,306533,4.204753199268739,1060341873000,306533,17439070600,18602489,20632,156.59,2.76,364,0.44,250,2103026400,439134800,-6032696300,3490535100
2022-06-09,57000,58300,56300,57500,259523,0.8771929824561403,1069643117500,259523,14874776400,18602489,20632,157.97,2.79,364,0.43,250,-194730800,-8605700,768629300,-565292800
2022-06-10,56900,57900,56500,57100,130640,-0.6956521739130435,1062202121900,130640,7486226000,18602489,20632,156.87,2.77,364,0.44,250,1120667000,11916600,-1266958800,134375200
2022-06-13,55900,56100,53700,53800,251948,-5.779334500875657,1000813908200,251948,13766479400,18602489,20632,147.8,2.61,364,0.46,250,-566228100,-212857800,203103200,575982700
2022-06-14,52600,53400,51300,52700,343711,-2.0446096654275094,980351170300,343711,17994084300,18602489,20632,144.78,2.55,364,0.47,250,-615768000,97021600,-470965200,989711600
2022-06-15,52000,53000,48600,48800,806676,-7.400379506641366,907801463200,806676,39995954350,18602489,20632,134.07,2.37,364,0.51,250,-5683717700,-19992450,10444964300,-4741254150
