날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,61300,61500,59500,59700,592344,-1.4851485148514851,4695536578800,592344,35953120100,78652204,27171,8.44,2.2,7073,0.0,0,4170584500,511545900,2809541000,-7491671400
2022-05-27,60500,60900,59000,59500,355519,-0.33500837520938026,4679806138000,355519,21210470900,78652204,27171,8.41,2.19,7073,0.0,0,-1310759500,10737400,3798872400,-2498850300
2022-05-30,60200,61800,60200,61400,509020,3.1932773109243695,4829245325600,509020,31143695000,78652204,27171,8.68,2.26,7073,0.0,0,7140998100,87689100,-5992403600,-1236283600
2022-05-31,61800,62500,60600,62500,999157,1.7915309446254073,4915762750000,999157,62107271400,78652204,27171,8.84,2.3,7073,0.0,0,8247810000,221164400,-3440561500,-5028412900
2022-06-02,62200,62300,60800,62000,310156,-0.8,4876436648000,310156,19115594800,78652204,27171,8.77,2.28,7073,0.0,0,1530099100,-41250400,1477217500,-2966066200
2022-06-03,63000,63000,61800,61900,220934,-0.16129032258064516,4868571427600,220934,13739568600,78652204,27171,8.75,2.28,7073,0.0,0,1386056700,-91401400,1459135800,-2753791100
2022-06-07,61900,62000,60500,61100,428197,-1.2924071082390953,4808352484000,428197,26167231900,78696440,27171,8.64,2.25,7073,0.0,0,-5479822300,11879900,788507800,4679434600
2022-06-08,61100,61800,60700,61500,217008,0.6546644844517185,4839831060000,217008,13292451500,78696440,27171,8.7,2.26,7073,0.0,0,43383400,-10101500,-2813675800,2780393900
2022-06-09,61500,61600,60000,61600,302075,0.16260162601626016,4847700704000,302075,18390028200,78696440,27171,8.71,2.27,7073,0.0,0,-1813026400,1875000,-727916500,2539067900
2022-06-10,60600,61200,60200,60400,266540,-1.948051948051948,4753264976000,266540,16162649800,78696440,27171,8.54,2.22,7073,0.0,0,-2520896500,-17142400,454949600,2083089300
