날짜,시가,고가,저가,종가,거래량,등락률,시가총액,거래량_cap,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,기관합계,기타법인,개인,외국인합계
2022-05-26,33950,33950,33500,33550,15697,-0.1488095238095238,382884543800,15697,527475350,11412356,8720,0.0,3.85,0,0.0,0,0,0,45541950,-45541950
2022-05-27,33550,33800,33300,33300,19547,-0.7451564828614009,380031454800,19547,655061300,11412356,8720,0.0,3.82,0,0.0,0,0,0,-74372450,74372450
2022-05-30,33350,33650,33200,33600,15823,0.9009009009009009,383455161600,15823,529260300,11412356,8720,0.0,3.85,0,0.0,0,0,0,-115289250,115289250
2022-05-31,33750,33850,33500,33600,17195,0.0,383455161600,17195,578264050,11412356,8720,0.0,3.85,0,0.0,0,0,0,-4433150,4433150
2022-06-02,33600,33900,33500,33900,11375,0.8928571428571428,386878868400,11375,382672500,11412356,8720,0.0,3.89,0,0.0,0,0,0,-37407500,37407500
2022-06-03,33700,34200,33700,34000,13711,0.2949852507374631,388020104000,13711,465771400,11412356,8720,0.0,3.9,0,0.0,0,0,0,-53050650,53050650
2022-06-07,34000,34500,33600,33750,17828,-0.7352941176470588,385167015000,17828,606124600,11412356,8720,0.0,3.87,0,0.0,0,0,-753500,24509100,-23755600
2022-06-08,34200,34200,33650,33650,8216,-0.2962962962962963,384025779400,8216,277105800,11412356,8720,0.0,3.86,0,0.0,0,0,0,16511850,-16511850
2022-06-09,33650,33850,33300,33700,14594,0.1485884101040119,384596397200,14594,490675500,11412356,8720,0.0,3.86,0,0.0,0,0,6720000,25356750,-32076750
2022-06-10,33100,34100,33100,33750,13914,0.1483679525222552,385167015000,13914,469161550,11412356,8720,0.0,3.87,0,0.0,0,0,0,-50369200,50369200
2022-06-13,33650,34000,32850,33000,35500,-2.2222222222222223,376607748000,35500,1180534850,11412356,8720,0.0,3.78,0,0.0,0,0,-2499500,-7282700,9782200
2022-06-14,32800,33200,32000,32500,35083,-1.5151515151515151,370901570000,35083,1144328750,11412356,8720,0.0,3.73,0,0.0,0,0,-2478600,-179965250,182443850
2022-06-15,32400,32800,31900,32000,25192,-1.5384615384615385,365195392000,25192,809647900,11412356,8720,0.0,3.67,0,0.0,0,0,0,-215669150,215669150
2022-06-16,32050,32650,31950,32050,14611,0.15625,365766009800,14611,469412400,11412356,8720,0.0,3.68,0,0.0,0,0,0,-12977950,12977950
2022-06-17,31400,31800,30750,31600,27060,-1.40405616224649,360630449600,27060,852156850,11412356,8720,0.0,3.62,0,0.0,0,0,-107469500,12329500,95140000
2022-06-20,31600,31800,30250,30500,31523,-3.481012658227848,348076858000,31523,969366400,11412356,8720,0.0,3.5,0,0.0,0,0,-122807900,91326500,31481400
2022-06-21,30200,31150,30200,31150,13606,2.1311475409836063,355494889400,13606,417752400,11412356,8720,0.0,3.57,0,0.0,0,0,0,-15323550,15323550
2022-06-22,30900,31450,30050,30350,22187,-2.568218298555377,346365004600,22187,676212600,11412356,8720,0.0,3.48,0,0.0,0,0,13635000,-7987650,-5647350
